label,famille,forme,rgb,jeton_regex,description,source
Luminaire A 2x2 30W,luminaire,carre,,,Stanpro L3PNV panneau 2x2 encastré 30 W,E004 tableau luminaires type A ; E001 légende éclairage
Luminaire A1 2x2 40W,luminaire,carre,,,Stanpro L3PNV panneau 2x2 encastré 40 W,E004 tableau luminaires type A1
Luminaire B encastré 6po 18W,luminaire,cercle,,,Stanpro Cometo Choice encastré 6 po 18 W,E004 tableau luminaires type B ; E001 légende encastré
Luminaire B1 encastré 6po 12W,luminaire,cercle,,,Stanpro Cometo Choice encastré 6 po 12 W,E004 tableau luminaires type B1
Luminaire C applique ext.,luminaire,cercle,,,LSI V-Locity small applique murale extérieure 36 W,E004 tableau luminaires type C ; E201 C,33
Luminaire D applique ext.,luminaire,cercle,,,Stanpro FLM applique murale extérieure encastrée 35 W,E004 tableau luminaires type D
Luminaire E encastré ext. 4po,luminaire,cercle,,,Stanpro LPDL encastré 4 po extérieur 9 W,E004 tableau luminaires type E
Luminaire F sous armoire,luminaire,,,,Stanpro UCFL dessous armoire 10 W,E004 tableau luminaires type F ; E001 légende dessous d'armoire
Luminaire F1 sous armoire,luminaire,,,,Stanpro UCFL dessous armoire 15 W,E004 tableau luminaires type F1
Luminaire G applique toilette,luminaire,cercle,,,Stanpro L2SNQ applique murale toilette 30 W,E004 tableau luminaires type G
Enseigne sortie mur tête double,secours,,,,Enseigne de sortie 1 côté au mur avec tête double (UA C;2),E001 légende éclairage de secours ligne 4
Unité urgence UA mur tête double,secours,,,,Luminaire d'urgence tête double au mur Stanpro série N 12 V,E001 légende secours ; E004 tableau spécifications
Unité urgence UA mur tête simple,secours,,,,Luminaire d'urgence tête simple au mur Stanpro série N 12 V,E001 légende secours ; E004 tableau spécifications
Unité urgence UA plafond,secours,,,,Luminaire d'urgence au plafond (tête simple/double/triple),E001 légende secours dernière ligne ; E004 tableau spécifications SPSRS12-2L
Détecteur de fumée,alarme,cercle,,,Détecteur de fumée Maple Armor FW511 raccordé à la boucle existante (note 3),E001 légende alarme-incendie ; E004 tableau spécifications
Klaxon alarme-incendie,alarme,cercle,,,Klaxon d'alarme-incendie raccordé à la boucle existante (note 4),E001 légende alarme-incendie
Station manuelle existante relocalisée,alarme,carre,,,Station manuelle existante relocalisée (ER),E001 légende station manuelle + généralités ER ; E401 plan
Boîtier protection station manuelle,alarme,carre,,,Fournir et installer un boîtier de protection compatible,E401 note plan éclairage (flèche vers station ER)
Relais adressable porte (RA),alarme,carre,,,Relais adressable / filage vers panneau d'alarme existant pour porte électrifiée,E004 détail B
Commande éclairage ($),commande,cercle,,S,Emplacement du ou des contrôles d'éclairage ($ — mot 'S' vectoriel),E001 légende contrôle d'éclairage ligne 1
Gradateur à glissière,commande,cercle,,,Gradateur à glissière captive 120 V (a/b),E001 légende contrôle d'éclairage
Minuterie astronomique,commande,carre,,,Minuterie astronomique pour éclairage extérieur (devis 2.22 b),E003 devis art. 2.22 b)
Détecteur de présence — à confirmer,commande,cercle,,,Détection de présence exigée au devis 2.22 (corridors / toilette) — non dessinée,E003 devis art. 2.22 a) et d)
Prise double 15A,prise,cercle,,,Prise de courant double 15 A 120 V,E001 légende prise de courant ligne 1
Prise réfrigérateur,prise,cercle,,,Prise double 15 A pour frigo (C;17),E001 légende + E101 cédule circuit 17 FRIGO
Prise micro-onde 5-20R,prise,cercle,,,Prise double 15-20 A 5-20R pour micro-onde (C;40),E001 légende + E101 cédule circuit 40 MICRO-ONDE
Prise double 15A @48po,prise,cercle,,,Prise de courant double 15 A 120 V @ 48 po PLF,E001 légende prise de courant ligne 2
Prise 15-20A DDFT @48po,prise,cercle,,,Prise double 15-20 A 120 V GFI @ 48 po (comptoir C;7 C;8),E001 légende prise de courant avant-dernière ligne
Prise extérieure DDFT EI,prise,cercle,,,Prise GFI à l'épreuve des intempéries (C;23),E001 légende prise GFI + généralités EI ; E101 circuit 23
