cote,page_humaine,feuille_ia,libelle,x_px,y_px,x_norm,y_norm,x_px_ia,y_px_ia,statut,id,id_apparie,libelle_apparie,distance_px_ia
humain,25-0075_E_PERM_SOUM_20260507_Signed - 6,250075EPER-p06,FIXTURE TYPE C,5419,2780,0.5018,0.3862,2854,1464,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 6:1,IA:250075EPER-p06:2,Luminaire C applique ext.,3.0
humain,25-0075_E_PERM_SOUM_20260507_Signed - 6,250075EPER-p06,FIXTURE TYPE C,5420,3488,0.5019,0.4845,2855,1836,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 6:2,IA:250075EPER-p06:3,Luminaire C applique ext.,0.9
humain,25-0075_E_PERM_SOUM_20260507_Signed - 6,250075EPER-p06,FIXTURE TYPE C,4975,3602,0.4607,0.5003,2623,1896,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 6:3,IA:250075EPER-p06:1,Luminaire C applique ext.,2.5
humain,25-0075_E_PERM_SOUM_20260507_Signed - 6,250075EPER-p06,FIXTURE TYPE D,5228,2600,0.4841,0.3612,2755,1369,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 6:4,IA:250075EPER-p06:4,Luminaire D applique ext.,0.4
humain,25-0075_E_PERM_SOUM_20260507_Signed - 6,250075EPER-p06,FIXTURE TYPE E,4813,2617,0.4457,0.3635,2539,1378,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 6:5,IA:250075EPER-p06:5,Luminaire E encastré ext. 4po,1.8
humain,25-0075_E_PERM_SOUM_20260507_Signed - 6,250075EPER-p06,FIXTURE TYPE E,4908,2619,0.4545,0.3638,2589,1379,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 6:6,IA:250075EPER-p06:6,Luminaire E encastré ext. 4po,1.0
humain,25-0075_E_PERM_SOUM_20260507_Signed - 6,250075EPER-p06,FIXTURE TYPE E,4997,2621,0.4627,0.3641,2635,1380,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 6:7,IA:250075EPER-p06:7,Luminaire E encastré ext. 4po,1.2
humain,25-0075_E_PERM_SOUM_20260507_Signed - 6,250075EPER-p06,FIXTURE TYPE E,5094,2619,0.4717,0.3638,2685,1379,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 6:8,IA:250075EPER-p06:8,Luminaire E encastré ext. 4po,1.9
humain,25-0075_E_PERM_SOUM_20260507_Signed - 7,E004,FIXTURE TYPE A,2720,1425,0.2519,0.1979,1434,753,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 7:1,IA:E004:38,Luminaire A 2x2 30W,8.2
humain,25-0075_E_PERM_SOUM_20260507_Signed - 7,E004,FIXTURE TYPE A,3025,1419,0.2801,0.1971,1595,750,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 7:2,IA:E004:39,Luminaire A 2x2 30W,9.0
humain,25-0075_E_PERM_SOUM_20260507_Signed - 7,E004,FIXTURE TYPE A,3027,1648,0.2803,0.2289,1596,870,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 7:3,IA:E004:41,Luminaire A 2x2 30W,7.4
humain,25-0075_E_PERM_SOUM_20260507_Signed - 7,E004,FIXTURE TYPE A,2725,1648,0.2523,0.2289,1437,870,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 7:4,IA:E004:40,Luminaire A 2x2 30W,7.9
humain,25-0075_E_PERM_SOUM_20260507_Signed - 7,E004,FIXTURE TYPE A,2720,1873,0.2519,0.2602,1434,988,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 7:5,IA:E004:42,Luminaire A 2x2 30W,9.3
humain,25-0075_E_PERM_SOUM_20260507_Signed - 7,E004,FIXTURE TYPE A,3028,1873,0.2804,0.2602,1597,988,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 7:6,IA:E004:43,Luminaire A 2x2 30W,7.0
humain,25-0075_E_PERM_SOUM_20260507_Signed - 7,E004,FIXTURE TYPE A,3250,1875,0.3010,0.2605,1714,989,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 7:7,IA:E004:44,Luminaire A 2x2 30W,7.1
humain,25-0075_E_PERM_SOUM_20260507_Signed - 7,E004,FIXTURE TYPE A,3327,2098,0.3081,0.2914,1754,1107,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 7:8,IA:E004:47,Luminaire A 2x2 30W,8.4
humain,25-0075_E_PERM_SOUM_20260507_Signed - 7,E004,FIXTURE TYPE A,3028,2099,0.2804,0.2916,1597,1107,appariée,H:25-0075_E_PERM_SOUM_20260507_Signed - 7:9,IA:E004:46,Luminaire A 2x2 30W,7.3
