feuille,fichier,page,largeur_pt,hauteur_pt,raster_px,classement_fichier,nb_mots,jetons_frequents,titre
E100,01-PLANS.pdf,1,3456.00,2592.00,5694x4271,plans,7841,de×267 les×214 et×166 DU×111 DE×105 à×87 des×87 -×81 la×78 le×73 pour×62 dans×61 ET×59 C/L×56 PLANCHER×56 AU×53 du×52 Fournir×51 installer×50 À×47 ou×47 un×46 être×46 :×44 par×41,"CHAUFFAGE CHAPITRE SÉ DES 3.05 2.80 2.80 2.80 2.80 3.00 8.75 02 GROSSEUR DE V LONGUEURS 3.05 2.80 2.80 2.80 2.80 3.00 5.50 03 DU 120V CONDUCTEUR, 10 12 14 4.55 "
E101,01-PLANS.pdf,2,3456.00,2592.00,5694x4271,plans,4274,A×594 15×250 B×157 20×89 C×82 PRISES×76 DCAA×72 #×51 Ø×50 DESCRIPTION×50 3×45 CAT.6E×45 30×43 ÉCLAIRAGE×43 1×40 2×36 PRISE×36 VENTILATEUR×33 /×32 25×31 DE×27 4×26 5×26 6×25 8×25,"S. RE S INSTALLÉ CONTREPLAQUÉ PAR CAT.6E CAT.6E CAT.6E CAT.6E CAT.6E VERS SERVICES L'ENTREPRENEUR + + + + + FOURNISSEUR VERS 4"" 3 RG/6U COAX CAT.6E RG/6U COAX C"
E102,01-PLANS.pdf,3,3456.00,2592.00,5694x4271,plans,1809,"100A×143 DE×42 ""×32 AL×31 A×30 LE×25 -×23 /×23 EN×20 PANNEAU×20 NOTE×20 3×19 4×18 kW×18 V×16 kA×16 ø,×16 F×16 LES×15 DU×14 DES×13 3P×13 CONDUCTEUR×13 MALT×13 208×12",Dessin Scale: Échelle: Date: Titre Titre Client du du No. DEVIS SCHÉMA ÉLECTRIQUE dessin projet / Client / Drawing AUCUNE 17.06.2025 / Drawing / Project 20 No. 
E103,01-PLANS.pdf,4,3456.00,2592.00,5694x4271,plans,3895,DE×158 ET×82 PAR×81 :×66 LE×56 EN×54 À×48 -×48 LA×44 LES×40 DU×40 POUR×34 AVEC×32 DES×30 INSTALLÉ×25 CONTRÔLE×21 /×21 lbs×20 AU×19 OU×18 ÊTRE×18 1×18 BTU×18 ÉLECTRIQUE×17 ÉLECTRICIEN×17,"VÈTEMENT R TALLÉE TIE OUREUX"" COUVREMENT GRÉ R L'EMPLACEMENT PROTÉGÉE POUR À L'ÉPREUVE PAR DE PRISE AVEC L'ENTREPRENEUR PORTANT PAR TOIT ÉLECTRIQUE COUVERCLE AV"
E104,01-PLANS.pdf,5,3456.00,2592.00,5694x4271,plans,4703,de×310 et×120 du×102 la×100 à×92 le×78 en×71 les×59 pour×54 des×46 être×41 groupe×40 au×33 Le×33 La×31 électrogène×30 une×29 :×28 doit×28 un×27 avec×27 devra×26 par×26 sera×24 DE×23,Dessin Scale: Échelle: Date: Titre Titre Client du du No. DEVIS ÉLECTRIQUE dessin projet / Client / Drawing AUCUNE 17.06.2025 / Drawing / Project 20 No. title t
E105,01-PLANS.pdf,6,3456.00,2592.00,5694x4271,plans,149,/×7 No.×4 POUR×3 CONSTRUCTION×2 Titre×2 du×2 Drawing×2 title×2 Rev.×2 -×2 Client×2 QC×2 DU×2 H.×2 BLIER×2 ing.×2 by:×2 par:×2 3×2 ÉMIS×2 NORMES×1 BÂTIMENTS×1 GRANDE×1 HAUTEUR×1 APPLICABLES×1,Dessin Scale: Échelle: Date: Titre Titre Client du du No. DEVIS ÉLECTRIQUE dessin projet / Client / Drawing AUCUNE 17.06.2025 / Drawing / Project 20 No. title t
E106,01-PLANS.pdf,7,3456.00,2592.00,5694x4271,plans,533,SS×25 DF1×14 -×13 INCENDIE×13 COLONNE×8 VANNE×7 /×7 3×6 DE×6 POUR×6 NIVEAU×5 PUISARD×5 ESC-5×5 EN×5 DM×4 5×4 4×4 2×4 7-G×4 6-G×4 5-G×4 4-G×4 3-G×4 2-G×4 1-G×4,E E NIVEAU NIVEAU COLONNE COLONNE PUISARD PUISARD INCENDIE INCENDIE P1A P1A ESC-2 ESC-1 Dessin Scale: Échelle: Date: Titre Titre Client du du No. DÉTECTION DIAG
E107,01-PLANS.pdf,8,3456.00,2592.00,5694x4271,plans,693,DF1×47 I×20 WW×18 22K×18 DM×17 R×15 DF2×14 DE×13 CONSTRUCTION×11 MA×11 DV×10 GYPSE×9 1H×9 AU×9 FEU×9 DD×8 FERME×7 VOLET×7 C-F×7 /×7 POUR×6 INCENDIE×6 300mm×6 1200mm×6 INX×6,Dessin Scale: Échelle: Date: Titre Titre Client du du No. DÉTECTION DIAGRAMME ÉLECTRIQUE dessin projet / Client / Drawing AUCUNE 17.06.2025 / Drawing / Project 
E108,01-PLANS.pdf,9,3456.00,2592.00,5694x4271,plans,684,DF1×55 I×21 WW×20 22K×20 DF2×19 DM×17 R×15 MA×12 DV×11 DE×10 FERME×9 VOLET×9 C-F×9 DD×9 CONSTRUCTION×8 INX×8 /×7 GYPSE×6 1H×6 AU×6 FEU×6 INCENDIE×6 10×6 POUR×6 ASC-1×5,Dessin Scale: Échelle: Date: Titre Titre Client du du No. SIGNALISATION DIAGRAMME ÉLECTRIQUE dessin projet / Client / Drawing AUCUNE 17.06.2025 / Drawing / Proj
E109,01-PLANS.pdf,10,3456.00,2592.00,5694x4271,plans,241,K×11 /×7 POUR×6 INCENDIE×4 -×4 DE×4 No.×4 WW×3 DIAGRAMME×2 D'ALARME×2 RANGEMENT×2 3.9K×2 LES×2 CÂBLES×2 L'ALARME×2 À×2 DEVRONT×2 ÊTRE×2 ESPACÉ×2 NOTE×2 LE×2 CONSTRUCTION×2 Titre×2 du×2 Drawing×2,Dessin Scale: Échelle: Date: Titre Titre Client du du No. SIGNALISATION DIAGRAMME ÉLECTRIQUE dessin projet / Client / Drawing AUCUNE 17.06.2025 / Drawing / Proj
E110,01-PLANS.pdf,11,3456.00,2592.00,5694x4271,plans,998,KS×159 185CD×99 1200mm×72 15CD×60 K×18 DE×10 .78A×10 CONSTRUCTION×8 Corridor×7 WW×7 /×7 POUR×6 INX×6 .81A×6 3.9K×6 GYPSE×6 1H×6 AU×6 FEU×6 INCENDIE×5 .99A×5 -×4 .037A×4 No.×4 LES×3,Dessin Scale: Échelle: Date: Titre Titre Client du du No. DEVIS DIAGRAMME ÉLECTRIQUE dessin projet / Client / Drawing AUCUNE 17.06.2025 / Drawing / Project 20 N
E111,01-PLANS.pdf,12,3456.00,2592.00,5694x4271,plans,1165,KS×205 185CD×124 1200mm×85 15CD×81 K×21 .99A×13 Corridor×9 INX×8 DE×8 3.9K×7 WW×7 .037A×7 .81A×7 /×7 .42A×6 CONSTRUCTION×6 POUR×6 RANGEMENT×4 GYPSE×4 1H×4 AU×4 FEU×4 -×4 INCENDIE×4 No.×4,Dessin Scale: Échelle: Date: Titre Titre Client du du No. SIGNALISATION DIAGRAMME ÉLECTRIQUE dessin projet / Client / Drawing AUCUNE 17.06.2025 / Drawing / Proj
E200,01-PLANS.pdf,13,3456.00,2592.00,5694x4271,plans,1068,300X600×115 DE×32 V1.5×21 V1.1×18 -×18 EN×16 LES×16 DES×12 PAR×12 AU×11 ET×11 DU×10 S1.1-13×9 S2.1-13×9 ÉLECTRIQUE×9 POUR×9 SERONT×9 V×9 LE×8 AVEC×8 RELIÉ×8 S2.1-15×7 INSTALLÉS×7 UN×7 LA×7,"O.1 V1.1 P.1 V1.1 Dessin Scale: Échelle: Date: Titre Titre Client du du No. PLAN RACCORDEMENT PRISES, ÉLECTRIQUE dessin projet / Client / Drawing 3/32""=1'-0"" 17"
E201,01-PLANS.pdf,14,3456.00,2592.00,5694x4271,plans,1742,"V1.1×88 23×79 19×63 LG01×57 21×54 T×50 300X600×46 1000W×43 21j×36 Q×29 300W×25 15×23 L×21 10×20 21y×20 12×19 UNITÉ×18 19q×18 1,3×18 H×18 5×18 LV×18 9×18 13×18 11×18","O.1 V1.1 P.1 V1.1 Dessin Scale: Échelle: Date: Titre Titre Client du du No. PLAN RACCORDEMENT PRISES, dessin projet / Client / Drawing 3/32""=1'-0"" 17.06.2025 / "
E202,01-PLANS.pdf,15,3456.00,2592.00,5694x4271,plans,1668,"V1.1×105 23×88 19×73 LG01×65 21×59 T×56 21j×40 1000W×37 Q×28 300X600×28 300W×26 15×26 L×24 10×24 5×22 7×22 21y×22 9×21 19q×21 1,3×21 H×21 13×21 11×21 2,4×21 17×21","O.1 V1.1 P.1 V1.1 Dessin Scale: Échelle: Date: Titre Titre Client du du No. PLAN RACCORDEMENT PRISES, ÉLECTRIQUE dessin projet / Client / Drawing 3/32""=1'-0"" 17"
E203,01-PLANS.pdf,16,3456.00,2592.00,5694x4271,plans,1662,"V1.1×106 23×89 19×74 LG01×69 21×64 T×59 21j×42 1000W×32 Q×31 300X600×29 300W×27 15×26 10×24 21y×24 L×23 5×22 7×22 9×21 19q×21 1,3×21 H×21 13×21 11×21 2,4×21 17×21","O.1 V1.1 P.1 V1.1 Dessin Scale: Échelle: Date: Titre Titre Client du du No. PLAN RACCORDEMENT PRISES, ÉLECTRIQUE dessin projet / Client / Drawing 3/32""=1'-0"" 17"
E204,01-PLANS.pdf,17,3456.00,2592.00,5694x4271,plans,1423,"V1.1×106 23×89 19×74 21×64 T×59 21j×42 1000W×32 Q×31 300W×27 15×26 10×24 21y×24 5×22 7×22 9×21 19q×21 1,3×21 H×21 13×21 11×21 2,4×21 17×21 LV×20 12×18 -×16","O.1 V1.1 P.1 V1.1 Dessin Scale: Échelle: Date: Titre Titre Client du du No. PLAN RACCORDEMENT PRISES, ÉLECTRIQUE dessin projet / Client / Drawing 3/32""=1'-0"" 17"
E205,01-PLANS.pdf,18,3456.00,2592.00,5694x4271,plans,1662,"V1.1×106 23×89 19×74 LG01×69 21×64 T×59 21j×42 1000W×32 Q×31 300X600×29 300W×27 15×26 10×24 21y×24 L×23 5×22 7×22 9×21 19q×21 1,3×21 H×21 13×21 11×21 2,4×21 17×21","O.1 V1.1 P.1 V1.1 Dessin Scale: Échelle: Date: Titre Titre Client du du No. PLAN RACCORDEMENT PRISES, ÉLECTRIQUE dessin projet / Client / Drawing 3/32""=1'-0"" 17"
E206,01-PLANS.pdf,19,3456.00,2592.00,5694x4271,plans,1694,"V1.1×106 23×91 19×78 LG01×69 21×66 T×61 21j×44 Q×31 1000W×30 300X600×29 15×27 10×25 21y×24 L×23 5×23 7×23 9×22 19q×22 1,3×22 H×22 13×22 11×22 2,4×22 17×22 LV×21","O.1 V1.1 P.1 V1.1 Dessin Scale: Échelle: Date: Titre Titre Client du du No. PLAN RACCORDEMENT PRISES, ÉLECTRIQUE dessin projet / Client / Drawing 3/32""=1'-0"" 17"
E207,01-PLANS.pdf,20,3456.00,2592.00,5694x4271,plans,1165,"V1.1×67 23×45 19×38 LG01×31 21×31 T×30 21j×22 1000W×18 -×18 DE×18 Q×15 10×14 15×14 300W×13 L×12 5×12 7×12 9×11 19q×11 1,3×11 H×11 13×11 11×11 2,4×11 17×11","O.1 V1.1 P.1 V1.1 Dessin Scale: Échelle: Date: Titre Titre Client du du No. PLAN RACCORDEMENT PRISES, ÉLECTRIQUE dessin projet / Client / Drawing 3/32""=1'-0"" 17"
E208,01-PLANS.pdf,21,3456.00,2592.00,5694x4271,plans,959,V1.1×61 LG01×36 23×31 21×28 T×26 1000W×20 19×20 -×16 Q×13 DE×12 21y×12 21j×12 500W×12 15×12 V1.5×11 LES×9 10×8 L×8 ÉLECTRIQUE×8 LE×8 EN×8 ET×8 5×7 7×7 9×7,"O.1 V1.1 P.1 V1.1 Dessin Scale: Échelle: Date: Titre Titre Client du du No. PLAN RACCORDEMENT PRISES, ÉLECTRIQUE dessin projet / Client / Drawing 3/32""=1'-0"" 17"
