feuille,type,echelle,note
S267,remplacee,,cartouche=L-S267-1302-01-501B · LÉGENDE (émission soumission 2026-04-28) — remplacée par S267_ADD_2 (Addenda MEP-02)
S267_2,remplacee,,cartouche=502B · DISTRIBUTION ÉLECTRIQUE (soumission) — remplacée par S267_ADD_3 (Addenda MEP-02)
S267_3,remplacee,250,cartouche=503B · MULTIDISCIPLINAIRE SITE (soumission) — remplacée par S267_ADD_4 (Addenda MEP-02)
S267_4,detail,,cartouche=504B · DÉTAILS SITE (soumission; non réémise en addenda — version en vigueur)
S267_5,remplacee,100,cartouche=505B · ÉCLAIRAGE NIVEAU 1 (soumission) — remplacée par S267_ADD_21 (Addenda MEP-01)
S267_6,remplacee,100,cartouche=506B · SERVICES NIVEAU 1 (soumission) — remplacée par S267_ADD_22 (Addenda MEP-01)
S267_7,remplacee,100,cartouche=507B · SERVICES TOIT (soumission) — remplacée par S267_ADD_23 (Addenda MEP-01)
S267_8,remplacee,100,cartouche=508B · SERVICES AUXILIAIRES NIVEAU 1 (soumission) — remplacée par S267_ADD_24 (Addenda MEP-01)
S267_9,schema,,cartouche=509B · DIAGRAMME D'ALARME INCENDIE (soumission; non réémise en addenda — version en vigueur)
S267_10,remplacee,,cartouche=510B · DÉTAILS (soumission) — remplacée par S267_ADD_5 (Addenda MEP-02)
S267_11,remplacee,,cartouche=511B · PANNEAUX (soumission) — remplacée par S267_ADD_25 (Addenda MEP-01)
S267_ADD,autre,100,cartouche=415B · MÉCANIQUE RÉGULATION PLAN D'ÉTAGE (Addenda MEP-02) — hors électricité; consultée pour raccordements
S267_ADD_2,legende,,cartouche=501B · LÉGENDE (Addenda MEP-02 rév.2) — version en vigueur
S267_ADD_3,schema,,cartouche=502B · DISTRIBUTION ÉLECTRIQUE (Addenda MEP-02 rév.2) — version en vigueur
S267_ADD_4,plan,250,cartouche=503B · MULTIDISCIPLINAIRE SITE (Addenda MEP-02 rév.2) — version en vigueur
S267_ADD_5,detail,,cartouche=510B · DÉTAILS (Addenda MEP-02 rév.2) — version en vigueur
S267_ADD_6,autre,,cartouche=402B · MÉCANIQUE TABLEAUX (Addenda MEP-01) — hors électricité
S267_ADD_7,autre,,cartouche=403B · MÉCANIQUE TABLEAUX (Addenda MEP-01) — hors électricité
S267_ADD_8,autre,250,cartouche=404B · MÉCANIQUE MULTIDISCIPLINAIRE SITE (Addenda MEP-01) — hors électricité
S267_ADD_9,autre,100,cartouche=408B · PLOMBERIE SOUS-DALLE (Addenda MEP-01) — hors électricité
S267_ADD_10,autre,100,cartouche=409B · PLOMBERIE DRAINAGE PLAN D'ÉTAGE (Addenda MEP-01) — hors électricité
S267_ADD_11,autre,100,cartouche=410B · PLOMBERIE EAUX DOMESTIQUES ET SERVICES PLAN D'ÉTAGE (Addenda MEP-01) — hors électricité
S267_ADD_12,autre,,cartouche=411B · PLOMBERIE DÉTAILS ET COUPES (Addenda MEP-01) — hors électricité
S267_ADD_13,autre,100,cartouche=412B · TUYAUTERIE PLAN D'ÉTAGE (Addenda MEP-01) — hors électricité
S267_ADD_14,autre,100,cartouche=413B · VENTILATION PLAN D'ÉTAGE (Addenda MEP-01) — hors électricité
S267_ADD_15,autre,100,cartouche=414B · VENTILATION COUPES ET DÉTAILS (Addenda MEP-01) — hors électricité
S267_ADD_16,remplacee,100,cartouche=415B · MÉCANIQUE RÉGULATION PLAN D'ÉTAGE (Addenda MEP-01) — remplacée par S267_ADD (MEP-02); hors électricité
S267_ADD_17,autre,,cartouche=416B · MÉCANIQUE RÉGULATION DIAGRAMMES (Addenda MEP-01) — hors électricité
S267_ADD_18,remplacee,,cartouche=501B · LÉGENDE (Addenda MEP-01 rév.1) — remplacée par S267_ADD_2 (MEP-02)
S267_ADD_19,remplacee,,cartouche=502B · DISTRIBUTION ÉLECTRIQUE (Addenda MEP-01 rév.1) — remplacée par S267_ADD_3 (MEP-02)
S267_ADD_20,remplacee,250,cartouche=503B · MULTIDISCIPLINAIRE SITE (Addenda MEP-01 rév.1) — remplacée par S267_ADD_4 (MEP-02)
S267_ADD_21,plan,100,cartouche=505B · ÉCLAIRAGE NIVEAU 1 (Addenda MEP-01 rév.1) — version en vigueur
S267_ADD_22,plan,100,cartouche=506B · SERVICES NIVEAU 1 (Addenda MEP-01 rév.1) — version en vigueur
S267_ADD_23,plan,100,cartouche=507B · SERVICES ET SERVICES AUXILIAIRES TOIT (Addenda MEP-01 rév.1) — version en vigueur
S267_ADD_24,plan,100,cartouche=508B · SERVICES AUXILIAIRES NIVEAU 1 (Addenda MEP-01 rév.1) — version en vigueur
S267_ADD_25,tableau,,cartouche=511B · PANNEAUX (Addenda MEP-01 rév.1) — version en vigueur
