label,famille,forme,rgb,jeton_regex,description,source
A1 Troffer 2x4,luminaire,,,A1,Appareil volumétrique encastré 2'x4' 47W 120V,501B (S267_ADD_2) liste des appareils d'éclairage
A1 Troffer 2x4 urgence,luminaire,trapeze,,,A1 dessiné plein gris = linéaire raccordé à l'urgence (mini-onduleur),501B légende « linéaire sur l'urgence » + 505B
B1 Troffer 2x2,luminaire,,,B1,Appareil volumétrique encastré 2'x2' 27W 120V,501B liste des appareils d'éclairage
C1 Spot encastré,luminaire,cercle,,C1,Spot encastré 4 po 13W 120V,501B liste des appareils d'éclairage
C1 Spot encastré urgence,luminaire,losange,,,C1 dessiné plein gris = ponctuel sur l'urgence,501B légende « ponctuel sur l'urgence » + 505B
C2 Spot lieux humides,luminaire,cercle,,C2,Spot encastré 4 po 10W lieux humides,501B liste (rév. 2 MEP-02)
C3 Spot boîtier 2h,luminaire,cercle,,C3,Spot encastré 4 po 20W avec boîtier résistant 2 h,501B liste (rév. 2 MEP-02)
C3 Spot boîtier 2h urgence,luminaire,losange,,,C3 dessiné plein = ponctuel sur l'urgence,501B légende + 505B
D1 High bay,luminaire,cercle,,D1,High bay suspendu 12 po 100W,501B liste (rév. 2 MEP-02)
D1 High bay urgence,luminaire,losange,,,D1 dessiné plein gris = ponctuel sur l'urgence,501B légende + 505B
E1 Réglette 4 pi,luminaire,,,E1,Réglette en surface 4 pi 38W,501B liste des appareils d'éclairage
E1 Réglette 4 pi urgence,luminaire,trapeze,,,E1 dessinée pleine grise = linéaire sur l'urgence,501B légende + 505B
G2 Applique de zone type 2,luminaire,,,G2,Applique murale extérieure noire 40W distribution type 2,501B liste; 503B plan de site
G3 Applique de zone type 3,luminaire,,,G3,Applique murale extérieure noire 40W distribution type 3,501B liste; 503B plan de site
L2 Lampadaire type 2,luminaire,,,L2,Lampadaire sur poteau 65W 347V distribution type 2,501B liste; 503B plan de site
L3 Lampadaire type 3,luminaire,,,L3,Lampadaire sur poteau 65W 347V distribution type 3,501B liste; 503B plan de site
L5 Lampadaire type 5,luminaire,,,L5,Lampadaire sur poteau 65W 347V distribution type 5,501B liste; 503B plan de site
X1 Enseigne d'issue,secours,,,X1,Pictogramme de sortie 3W universel (toutes variantes plafond/mur/flèche),501B liste + légende signalisation d'issue
Mini-onduleur 12V,secours,carre,,,Mini-onduleur M1/M2 pour éclairage d'urgence (circuits 26/28 P1-2PDPN4N-1),505B détail 2 + identification 1
Interrupteur unipolaire,commande,,,,Interrupteur unipolaire 120V,501B légende contrôle d'éclairage
Interrupteur avec détecteur de présence,commande,,,,Interrupteur unipolaire 120V intégré avec détecteur de présence,501B légende contrôle d'éclairage
Gradateur,commande,losange,,,Gradateur (symbole Ø avec flèche; variante avec détecteur non distinguée),501B légende contrôle d'éclairage
Détecteur de présence plafond,commande,,,,Détecteur de présence omnidirectionnel au plafond,501B légende contrôle d'éclairage
Prise double 5-15R,prise,,,,Prise double 15A 125V 5-15R,501B légende prises (1re ligne)
Prise double 5-15R WP,prise,,,,Prise double 5-15R à l'épreuve des intempéries (mention WP),501B légende + abréviation WP; 506B
Prise double 5-20R,prise,,,,Prise double 15/20A 125V 5-20R (symbole plein),501B légende prises (2e ligne)
Prise double 5-15R (triangle),prise,triangle_inverse,,,Prise double 15A 5-15R symbole triangle (ligne distincte de légende),501B légende prises (6e ligne)
Prise DDFT 5-15R (cercle),prise,,,,Prise double 5-15R c/a DDFT symbole cercle avec point,501B légende prises (5e ligne)
Prise DDFT 5-15R (triangle),prise,triangle_inverse,,,Prise double 5-15R c/a DDFT symbole triangle avec point,501B légende prises (4e ligne)
Sortie télécom,telecom,,,,Sortie pour télécommunication,501B légende télécommunications
Point de raccordement porte automatique,distribution,,,,Point de raccordement ouvre-porte automatique,501B légende dispositif de filerie; 506B
Point de raccordement volet coupe-feu,distribution,,,,Point de raccordement volet coupe-feu (fire-rated shutter),501B légende; 506B
Point de raccordement plomberie,distribution,,,,Point de raccordement 15A 120V appareil de plomberie (identification 1),506B identification 1
Point de raccordement panneau de contrôle,distribution,,,,Point de raccordement panneau de contrôle (circuit 60 P1-2PDPN4N-1),506B détail 2
Raccordement prise UTA toit (fournie par fabricant),prise,,,,Prise fournie par le fabricant de l'UTA et alimentée par l'électricité,507B note sur plan
C1.1 Plinthe 500W,chauffage,,,,Plinthe électrique 500W 347V 750 mm c/a relais triac (X.1),501B liste chauffage; 506B mot 500W
C2.2 Convecteur 4000W,chauffage,,,,Aéroconvecteur mural 4000W 347V c/a thermostat intégré (X.2),501B liste chauffage; 506B mot 4000W
C3.2 Aérotherme 8000W,chauffage,,,,Aéroconvecteur mural 8000W 347V c/a thermostat intégré (X.2),501B liste chauffage; 506B mot 8000W
