libelle_humain,libelle_ia,proportion,appariees,humain,ia_libelle_total,humain_groupe,ecart_groupe,libelles_humains_partages,manquantes_ia,meme_position_libelle_different,repartition
Compteur J HOOCK,Barre MALT télécom (note 7),1.00,1,45,1,45,-44,,44,0,Barre MALT télécom (note 7)=1
FIXT TYPE R1,Luminaire suspendu R1,1.00,30,30,30,30,0,,0,0,Luminaire suspendu R1=30
PRISE,Prise double 15A,0.42,19,19,8,19,-11,,0,11,Prise double 15A=8 ; Prise au-dessus du comptoir=5 ; Prise au plafond=4 ; Prise hauteur spéciale=1 ; Raccordement serpentin SE=1
RSP-C-347-Z1,Contrôleur WaveLinx RSP-C-347-Z1,1.00,19,19,19,19,0,,0,0,Contrôleur WaveLinx RSP-C-347-Z1=19
fixt type l3,Luminaire L3,0.71,14,14,10,14,-4,,0,4,Luminaire L3=10 ; Luminaire L3A=3 ; Luminaire R2=1
DETECTEUR FUMÉ,Détecteur de fumée,0.75,12,12,10,13,-3,DETECTEUR FUMÉ ; P.R,0,3,Détecteur de fumée=9 ; Détecteur de fumée de conduit (note 2)=2 ; Luminaire L3A=1
BG,Boîte de groupe sécurité BG,1.00,11,11,11,11,0,,0,0,Boîte de groupe sécurité BG=11
DECT 360,Détecteur de présence 360°,1.00,11,11,11,11,0,,0,0,Détecteur de présence 360°=11
PORTE,Porte contrôlée,1.00,11,11,11,11,0,,0,0,Porte contrôlée=11
OSC-C-P,,0.00,0,10,0,10,,,10,0,
fixt type a1,Luminaire A1,1.00,10,10,10,10,0,,0,0,Luminaire A1=10
fixt type l4,Luminaire L4,0.80,10,10,8,10,-2,,0,2,Luminaire L4=8 ; Armoire de relais BT (P.R.)=1 ; Luminaire L4A=1
INT 1 VOIE,Interrupteur basse tension,0.62,8,9,7,16,-9,FIXT TYPE R2 ; INT 1 VOIE ; TETE SIMPLE,1,3,Interrupteur basse tension=5 ; Poste BT double (a/b)=1 ; Tête d'éclairage simple=1 ; Luminaire R2=1
RELAIS,Relais triac RT,1.00,9,9,9,9,0,,0,0,Relais triac RT=9
FIXT TYPE P1,Projecteur P1,1.00,8,8,8,8,0,,0,0,Projecteur P1=8
HP,Haut-parleur — fourni par autres,0.86,7,7,6,7,-1,,0,1,Haut-parleur — fourni par autres=6 ; Sortie contrôle de volume=1
SERPENTIN,Raccordement serpentin SE,0.80,5,7,7,8,-1,MOTEUR VC ; SERPENTIN,2,1,Raccordement serpentin SE=4 ; Raccordement chauffe-eau CE (36 kW)=1
TEL,Sortie télécom (note),0.29,7,7,2,7,-5,,0,5,Sortie télécom (note)=2 ; Sortie télécom D=2 ; Sortie télécom WF=2 ; Sortie télécom CA=1
TETE DOUBLE,Tête d'éclairage double,0.86,7,7,7,7,0,,0,1,Tête d'éclairage double=6 ; Luminaire R2=1
FIXT TYPE R3,Luminaire R3,1.00,6,6,6,6,0,,0,0,Luminaire R3=6
GFI,Prise DDFT,0.83,6,6,5,6,-1,,0,1,Prise DDFT=5 ; Prise DDFT fontaine réfrigérée=1
SORTIE VIDEOSURVEILLANCE,Sortie télécom VS,1.00,6,6,8,6,2,,0,0,Sortie télécom VS=6
B500W,Plinthe B5,0.67,3,5,5,5,0,,2,1,Plinthe B5=2 ; Raccordement ventilateur VE=1
CL1,Clavier d'intrusion CLI,1.00,5,5,5,5,0,,0,0,Clavier d'intrusion CLI=5
DETECT MOUV,Détecteur de mouvement,1.00,5,5,5,5,0,,0,0,Détecteur de mouvement=5
ENSEIGNE SORTIE,Indicateur d'issue Z1 (mur) — à confirmer,0.80,5,5,4,5,-1,,0,1,Indicateur d'issue Z1 (mur) — à confirmer=4 ; Indicateur d'issue Z2 (plafond) — à confirmer=1
FIXT TYPE M1,Luminaire mural M1,1.00,5,5,5,5,0,,0,0,Luminaire mural M1=5
HPEXT,,0.00,0,5,0,5,,,5,0,
STATION MANUEL,Poste manuel,1.00,5,5,5,5,0,,0,0,Poste manuel=5
WST-C-3D,,0.00,0,5,0,5,,,5,0,
FIXT TYPE R2,Interrupteur basse tension,0.25,4,4,7,16,-9,FIXT TYPE R2 ; INT 1 VOIE ; TETE SIMPLE,0,3,Luminaire R2=1 ; Tête d'éclairage simple=1 ; Tête d'éclairage double=1 ; Interrupteur basse tension=1
INT 3 VOIE,Poste BT double (a/b),0.67,3,4,3,4,-1,,1,1,Poste BT double (a/b)=2 ; Luminaire L4A=1
INT GR,Gradateur basse tension,1.00,4,4,4,4,0,,0,0,Gradateur basse tension=4
INT WST-C-1,,0.00,0,4,0,4,,,4,0,
A1500W,Aérotherme mural A15,1.00,2,3,3,3,0,,1,0,Aérotherme mural A15=2
CHAUFFE-EAU,Raccordement ventilateur VE,1.00,1,3,4,4,0,CHAUFFE-EAU ; MOTEUR VE-1,2,0,Raccordement ventilateur VE=1
FIXT  TYPE L2,Luminaire L2,1.00,3,3,3,3,0,,0,0,Luminaire L2=3
GFI WP,Prise DDFT intempéries,1.00,3,3,3,3,0,,0,0,Prise DDFT intempéries=3
INT WST-C-3,,0.00,0,3,0,3,,,3,0,
PRISE 15/20A,Prise 15/20A (5-20R),1.00,3,3,3,3,0,,0,0,Prise 15/20A (5-20R)=3
SORTIE CONTROL BATIMENT,Sortie télécom CB,1.00,3,3,3,3,0,,0,0,Sortie télécom CB=3
SÉCHOIRE,Sèche-mains,1.00,3,3,3,3,0,,0,0,Sèche-mains=3
TETE SIMPLE,Interrupteur basse tension,0.33,3,3,7,16,-9,FIXT TYPE R2 ; INT 1 VOIE ; TETE SIMPLE,0,2,Panneau d'alarme incendie (PAI)=1 ; Interrupteur basse tension=1 ; Tête d'éclairage simple=1
3,,0.00,0,2,0,2,,,2,0,
B1250W,Plinthe B12,0.50,2,2,2,2,0,,0,1,Raccordement serpentin SE=1 ; Plinthe B12=1
FIXT TYPE L1,Luminaire L1,1.00,2,2,2,2,0,,0,0,Luminaire L1=2
KLAXON,Klaxon alarme incendie,1.00,2,2,2,2,0,,0,0,Klaxon alarme incendie=2
LAMPADAIRE D1,Lampadaire D1,1.00,2,2,2,2,0,,0,0,Lampadaire D1=2
MOTEUR 1 HP 120V,Raccordement VA,0.50,2,2,2,3,-1,MOTEUR 1 HP 120V ; MOTEUR VA-2,0,1,Raccordement VA=1 ; Raccordement ventilateur VE=1
PRISE USB,Prise double USB,1.00,2,2,2,2,0,,0,0,Prise double USB=2
RA,Relais adressable RA,1.00,2,2,2,2,0,,0,0,Relais adressable RA=2
