cote,page_humaine,feuille_ia,libelle,x_px,y_px,x_norm,y_norm,x_px_ia,y_px_ia,statut,id,id_apparie,libelle_apparie,distance_px_ia
humain,Électrique_Plans pour soumission - 4,E102,LAMPADAIRE D1,5749,2918,0.7141,0.5125,4066,2064,appariée,H:Électrique_Plans pour soumission - 4:1,IA:E102:3,Lampadaire D1,29.4
humain,Électrique_Plans pour soumission - 4,E102,LAMPADAIRE D1,4690,2912,0.5825,0.5114,3317,2060,appariée,H:Électrique_Plans pour soumission - 4:2,IA:E102:2,Lampadaire D1,25.0
humain,Électrique_Plans pour soumission - 4,E102,HPEXT,3367,4707,0.4182,0.8267,2381,3330,manquante IA,H:Électrique_Plans pour soumission - 4:3,,,
humain,Électrique_Plans pour soumission - 4,E102,HPEXT,2687,4149,0.3337,0.7287,1900,2935,manquante IA,H:Électrique_Plans pour soumission - 4:4,,,
humain,Électrique_Plans pour soumission - 4,E102,HPEXT,2687,3103,0.3337,0.5450,1900,2195,manquante IA,H:Électrique_Plans pour soumission - 4:5,,,
humain,Électrique_Plans pour soumission - 4,E102,HPEXT,3144,2551,0.3905,0.4480,2224,1805,manquante IA,H:Électrique_Plans pour soumission - 4:6,,,
humain,Électrique_Plans pour soumission - 4,E102,HPEXT,3778,3149,0.4693,0.5530,2672,2228,manquante IA,H:Électrique_Plans pour soumission - 4:7,,,
humain,Électrique_Plans pour soumission - 4,E102,VIDEO,3550,4714,0.4409,0.8279,2511,3335,manquante IA,H:Électrique_Plans pour soumission - 4:8,,,
humain,Électrique_Plans pour soumission - 4,E102,VIDEO,3317,4712,0.4120,0.8275,2346,3333,manquante IA,H:Électrique_Plans pour soumission - 4:9,,,
humain,Électrique_Plans pour soumission - 4,E102,3,3782,2948,0.4698,0.5177,2675,2085,manquante IA,H:Électrique_Plans pour soumission - 4:10,,,
humain,Électrique_Plans pour soumission - 4,E102,3,3321,2539,0.4125,0.4459,2349,1796,manquante IA,H:Électrique_Plans pour soumission - 4:11,,,
humain,Électrique_Addenda ELE-001_Plans - 3,E201_ADD,FIXT TYPE R3,4654,2050,0.5781,0.3600,3287,1435,appariée,H:Électrique_Addenda ELE-001_Plans - 3:1,IA:E201_ADD:93,Luminaire R3,1.3
humain,Électrique_Addenda ELE-001_Plans - 3,E201_ADD,FIXT TYPE R3,4411,2050,0.5479,0.3600,3116,1435,appariée,H:Électrique_Addenda ELE-001_Plans - 3:2,IA:E201_ADD:91,Luminaire R3,1.8
humain,Électrique_Addenda ELE-001_Plans - 3,E201_ADD,FIXT TYPE R3,4163,2048,0.5171,0.3597,2941,1434,appariée,H:Électrique_Addenda ELE-001_Plans - 3:3,IA:E201_ADD:89,Luminaire R3,1.5
humain,Électrique_Addenda ELE-001_Plans - 3,E201_ADD,FIXT TYPE R3,4165,2238,0.5173,0.3930,2942,1567,appariée,H:Électrique_Addenda ELE-001_Plans - 3:4,IA:E201_ADD:90,Luminaire R3,1.0
humain,Électrique_Addenda ELE-001_Plans - 3,E201_ADD,FIXT TYPE R3,4409,2240,0.5476,0.3934,3114,1568,appariée,H:Électrique_Addenda ELE-001_Plans - 3:5,IA:E201_ADD:92,Luminaire R3,0.6
humain,Électrique_Addenda ELE-001_Plans - 3,E201_ADD,FIXT TYPE R3,4649,2240,0.5774,0.3934,3284,1568,appariée,H:Électrique_Addenda ELE-001_Plans - 3:6,IA:E201_ADD:94,Luminaire R3,2.4
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type a1,3946,1213,0.4901,0.2130,2786,848,appariée,H:Électrique_Plans pour soumission - 5:1,IA:E201_ADD:46,Luminaire A1,10.3
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type a1,3954,1318,0.4911,0.2315,2791,922,appariée,H:Électrique_Plans pour soumission - 5:2,IA:E201_ADD:47,Luminaire A1,10.5
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type a1,3954,1444,0.4911,0.2536,2791,1011,appariée,H:Électrique_Plans pour soumission - 5:3,IA:E201_ADD:48,Luminaire A1,25.5
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type a1,3955,1524,0.4912,0.2677,2792,1068,appariée,H:Électrique_Plans pour soumission - 5:4,IA:E201_ADD:49,Luminaire A1,11.0
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type a1,3954,1647,0.4911,0.2893,2791,1155,appariée,H:Électrique_Plans pour soumission - 5:5,IA:E201_ADD:50,Luminaire A1,9.9
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type a1,3952,1791,0.4909,0.3145,2790,1257,appariée,H:Électrique_Plans pour soumission - 5:6,IA:E201_ADD:51,Luminaire A1,22.7
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type a1,4035,1873,0.5012,0.3289,2849,1315,appariée,H:Électrique_Plans pour soumission - 5:7,IA:E201_ADD:52,Luminaire A1,9.6
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type a1,4374,1218,0.5433,0.2139,3089,852,appariée,H:Électrique_Plans pour soumission - 5:8,IA:E201_ADD:53,Luminaire A1,10.0
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type a1,4503,1216,0.5593,0.2136,3180,850,appariée,H:Électrique_Plans pour soumission - 5:9,IA:E201_ADD:54,Luminaire A1,13.3
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type a1,4660,1258,0.5788,0.2209,3291,880,appariée,H:Électrique_Plans pour soumission - 5:10,IA:E201_ADD:55,Luminaire A1,26.0
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type l3,5393,1253,0.6699,0.2201,3810,877,appariée,H:Électrique_Plans pour soumission - 5:11,IA:E201_ADD:69,Luminaire L3,9.6
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type l3,5630,1252,0.6993,0.2199,3978,876,appariée,H:Électrique_Plans pour soumission - 5:12,IA:E201_ADD:70,Luminaire L3,9.1
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type l3,5396,1406,0.6702,0.2469,3812,985,appariée,H:Électrique_Plans pour soumission - 5:13,IA:E201_ADD:68,Luminaire L3,10.9
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type l3,5631,1407,0.6994,0.2471,3979,985,appariée,H:Électrique_Plans pour soumission - 5:14,IA:E201_ADD:67,Luminaire L3,11.7
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type l3,5630,1557,0.6993,0.2734,3978,1091,appariée,H:Électrique_Plans pour soumission - 5:15,IA:E201_ADD:66,Luminaire L3,9.5
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type l3,5398,1558,0.6705,0.2736,3814,1092,appariée,H:Électrique_Plans pour soumission - 5:16,IA:E201_ADD:65,Luminaire L3,10.7
humain,Électrique_Plans pour soumission - 5,E201_ADD,fixt type l3,5395,1710,0.6701,0.3003,3812,1199,appariée,H:Électrique_Plans pour soumission - 5:17,IA:E201_ADD:64,Luminaire L3,10.5
