feuille,fichier,page,largeur_pt,hauteur_pt,raster_px,classement_fichier,nb_mots,jetons_frequents,titre
S267_ADD,00 Addenda MEP-02_Plans.pdf,1,3370.11,2383.65,5694x4028,addenda,482,|×19 1×8 ROOM×7 the×7 2×5 /×5 DE×5 PLAN×5 NO.×5 for×5 de×5 DES×4 of×4 service×4 and×4 le×4 6×3 OFFICE×3 MODULE×3 TO×3 ROOFTOP×3 VERS×3 UNITÉ×3 EN×3 TOITURE×3,Buildings/5814-000-000_MEP_2025.rvt New Six - Garrison Jean Docs://St. Autodesk 09:43:08 2026-07-01 CONC PROJ 415B CONC GÉST GÉST D'ÉTAGE AGENT INCENDIE 03/13/2
S267_ADD_2,00 Addenda MEP-02_Plans.pdf,2,3370.11,2383.65,5694x4028,addenda,2520,DE×73 C/L×48 =×44 DISTRIBUTION×33 DU×31 /×27 ABOVE×25 FLOOR×25 PLANCHER×25 TYPE×23 -×22 À×20 AU×18 |×18 LA×15 PANNEAU×14 450×14 WITH×14 EN×14 120V×14 WHITE×14 BLANC×14 LIGHTING×13 1×13 AT×13,Buildings/5814-000-000_MEP_2025.rvt New Six - Garrison Jean Docs://St. Autodesk 09:55:05 2026-07-02 CONC CONC PROJ 501B GÉST GÉST AGENT INCENDIE 03/06/26 L-S267
S267_ADD_3,00 Addenda MEP-02_Plans.pdf,3,3370.11,2383.65,5694x4028,addenda,654,|×18 1×12 HEATING×12 CHAUFFAGE×12 /×10 DE×10 DISTRIBUTION×9 THE×9 the×7 ELECTRICAL×6 (15kW)×6 FOR×6 ÉLECTRIQUE×5 4000W×5 CLIENT×5 NO.×5 for×5 de×5 LA×5 SALLE×4 BUILDING×4 of×4 service×4 and×4 le×4,Buildings/5814-000-000_MEP_2025.rvt New Six - Garrison Jean Docs://St. Autodesk 09:55:07 2026-07-02 CONC CONC PROJ 502B GÉST GÉST DISTRIBUTION ÉLECTRIQUE AGENT 
S267_ADD_4,00 Addenda MEP-02_Plans.pdf,4,3370.11,2383.65,5694x4028,addenda,1192,BUILDING×29 BÂTIMENT×29 x×26 DU×22 G2×20 2×20 THE×20 TYPE×18 |×18 FROM×17 1×17 78mm×17 POWERED×16 ALIMENTÉ×16 DE×16 ROOM×14 #6×13 OF×13 PIÈCE×12 A×12 G3×11 #2×11 /×11 103mm×11 TO×10,Buildings/5814-000-000_MEP_2025.rvt New Six - Garrison Jean Docs://St. Autodesk 09:55:12 2026-07-02 CONC CONC PROJ 503B GÉST GÉST AGENT INCENDIE 03/06/26 SITE S
S267_ADD_5,00 Addenda MEP-02_Plans.pdf,5,3370.11,2383.65,5694x4028,addenda,902,DE×19 |×18 CONDUIT×14 À×11 DETAIL×9 ÉCHELLE:×9 AUCUNE×9 THE×8 COMPRESSION×8 DES×8 SCALE:×8 NONE×8 the×7 TYPE×6 6mm×6 EN×6 LA×6 INSTALLATION×6 ACCEPTABLE×6 1×6 TAPE×6 ET×5 AS×5 WITH×5 LES×5,Buildings/5814-000-000_MEP_2025.rvt New Six - Garrison Jean Docs://St. Autodesk 09:55:14 2026-07-02 CONC CONC PROJ 510B GÉST GÉST AGENT INCENDIE 03/06/26 L-S267
S267_ADD_6,00 Addenda MEP01_Plans.pdf,1,3370.11,2383.65,5694x4028,addenda,2644,"1×75 14×72 -×61 208/1/60×60 /×51 76×48 4×43 3.5×42 117×36 R-32×36 38×36 DE×31 0.5×30 60×24 30×24 35×24 19×24 0.14×24 1,2×24 7×24 D'AIR×23 WATER×21 ROOFTOP×21 UNIT×21 UNITÉ×21",04/02/26 SUBJECT | SUJET SCHEDULES Buildings/5814-000-000_MEP_2025.rvt TABLEAUX PRODUCTION REVIEWED | REVU DESIGNED | ÉTUDIÉ DES O | AGENT CONC New S. MALTAIS-L
S267_ADD_7,00 Addenda MEP01_Plans.pdf,2,3370.11,2383.65,5694x4028,addenda,3101,2×101 13×95 600×73 12×72 1×67 600/3/60×59 300×54 35×54 2360×54 3×51 720×48 40×41 8×38 3.9×36 11×36 900×36 22×36 30×36 400×36 26×36 32×36 34×36 1650×36 150×36 60%×36,04/28/26 SUBJECT | SUJET SCHEDULES Buildings/5814-000-000_MEP_2025.rvt TABLEAUX PRODUCTION REVIEWED | REVU DESIGNED | ÉTUDIÉ DES O | AGENT CONC New S. MALTAIS-L
S267_ADD_8,00 Addenda MEP01_Plans.pdf,3,3370.11,2383.65,5694x4028,addenda,669,"/×35 BUILDING×18 TYPE×18 |×18 BÂTIMENT×12 150×12 GAS×10 GAZ×10 DE×9 ENERGIR)×8 STORM×7 DRAIN×7 SANITARY×7 FIRE×7 CONNECTIONS×7 the×7 A×6 B×6 A)×6 PLUVIAL,×6 300×6 SANITAIRE,×6 WATERMAIN×6 AQUEDUC,×6 DEPARTEMENT.×6",MECHANICAL 04/20/26 SUBJECT | SUJET MULTIDISCIPLINARY SITE Buildings/5814-000-000_MEP_2025.rvt MULTIDISCIPLINAIRE SITE PRODUCTION REVIEWED | REVU DESIGNED | ÉTU
S267_ADD_9,00 Addenda MEP01_Plans.pdf,4,3370.11,2383.65,5694x4028,addenda,1359,"100×83 40×75 50×68 S,×51 UP×40 80×37 1×25 150×20 WC×20 ST,×19 |×19 200×17 SH-1×16 LA-1×16 WC-1×16 VEN,×15 A×14 NOTE×13 L×11 WS-1×10 :×10 B×9 DE×9 SHOWER×8 /×8","MECHANICAL | MÉCANIQUE 03/05/26 SUBJECT | SUJET PLUMBING UNDERGROUND 4 Buildings/5814-000-000_MEP_2025.rvt 1 PLOMBERIE SOUS-DALLE UP S, 80 UP VEN, 40 NOTE A PRO"
S267_ADD_10,00 Addenda MEP01_Plans.pdf,5,3370.11,2383.65,5694x4028,addenda,1000,"40×45 DN×32 100×30 S,×29 VEN,×25 WC×20 SHOWER×20 ST,×20 50×20 MODULE×19 |×19 80×17 UP×16 WC-1×16 LA-1×16 SH-1×16 1×14 ROOM×12 200×9 DI,×9 WS-1×9 600x600×8 FD-1×7 the×7 FU,×6","B1 52 MECHANICAL | MÉCANIQUE 03/04/26 UP ST, 150 UP ST, 100 40 SUBJECT | SUJET X01 DI, 20 TO STEAM PLUMBING DRAINAGE FLOOR FU, 80ø VERS VAPEUR P-TRAP 250mm SIPH"
