cote,page_humaine,feuille_ia,libelle,x_px,y_px,x_norm,y_norm,x_px_ia,y_px_ia,statut,id,id_apparie,libelle_apparie,distance_px_ia
humain,23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2,E200D,PRISE DEPLACER,4718,1379,0.4681,0.1916,2532,987,appariée,H:23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2:1,IA:E200D:51,Démo appareil prises/services (E.D.),21.9
humain,23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2,E200D,PRISE DEPLACER,5025,1376,0.4986,0.1911,2679,986,appariée,H:23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2:2,IA:E200D:49,Démo appareil prises/services (E.D.),24.8
humain,23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2,E200D,PRISE DEPLACER,5497,1377,0.5454,0.1913,2905,986,appariée,H:23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2:3,IA:E200D:47,Démo appareil prises/services (E.D.),36.5
humain,23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2,E200D,PRISE DEPLACER,6245,2097,0.6196,0.2913,3262,1343,appariée,H:23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2:4,IA:E200D:43,Démo appareil prises/services (E.D.),21.2
humain,23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2,E200D,PRISE DEPLACER,6253,2651,0.6204,0.3682,3266,1617,appariée,H:23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2:5,IA:E200D:41,Démo appareil prises/services (E.D.),24.8
humain,23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2,E200D,PRISE DEPLACER,3474,1376,0.3447,0.1911,1938,986,appariée,H:23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2:6,IA:E200D:59,Démo appareil prises/services (E.D.),34.3
humain,23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2,E200D,PRISE DEPLACER,2701,2518,0.2680,0.3498,1569,1551,appariée,H:23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2:7,IA:E200D:60,Démo appareil prises/services (E.D.),11.0
humain,23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2,E200D,PRISE DEPLACER,2693,2736,0.2672,0.3801,1565,1659,appariée,H:23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2:8,IA:E200D:61,Démo appareil prises/services (E.D.),11.3
humain,23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2,E200D,PRISE DEPLACER,2690,2974,0.2669,0.4131,1564,1777,appariée,H:23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2:9,IA:E200D:62,Démo appareil prises/services (E.D.),10.2
humain,23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2,E200D,PRISE DEPLACER,2704,3441,0.2683,0.4780,1570,2008,appariée,H:23347_SELECTION_GLOBAL_SOUM_2026-08-13 - 2:10,IA:E200D:64,Démo appareil prises/services (E.D.),12.6
