libelle_humain,libelle_ia,proportion,appariees,humain,ia_libelle_total,humain_groupe,ecart_groupe,libelles_humains_partages,manquantes_ia,meme_position_libelle_different,repartition
FIXTURE ENLEVER,Démo luminaire R,0.22,134,204,32,204,-172,,70,105,Démo luminaire R=29 ; Démo luminaire C=22 ; Démo luminaire H=19 ; Démo rail existant=11 ; Démo luminaire W=11 ; Démo luminaire J=10 ; Démo projecteur sur rail=9 ; Démo carré-cercle — à classer=6 ; Démo luminaire S2=4 ; Démo luminaire A1=3 ; Démo luminaire sans type=3 ; Démo luminaire M=2 ; Démo luminaire E=1 ; Démo luminaire A2=1 ; Démo luminaire D1=1 ; Démo enseigne de sortie=1 ; Démo phare d'urgence=1
FIXTURE D3-N,Projecteur D3-N,0.79,113,122,102,125,-23,FIXTURE D3-N ; FIXTURE TYPE R6-NS,9,24,Projecteur D3-N=89 ; Projecteur D3-NT1=7 ; Projecteur D4-NT1=6 ; Rail R12-NS=5 ; Relais NPP PCD=2 ; Projecteur D4-N=2 ; Rail R6-NS=1 ; Relais NPP16=1
PRISE DEPLACER,Démo appareil prises/services (E.D.),1.00,40,49,82,53,29,PLINTHE RELO ; PRISE DEPLACER,9,0,Démo appareil prises/services (E.D.)=40
FIXTURE TYPE P2,Panneau P2,1.00,29,29,31,29,2,,0,0,Panneau P2=29
FIXTURE TYPE D4-N,Projecteur D4-N,0.70,27,27,27,30,-3,90DEGRE ; FIXTURE R6-NS ; FIXTURE TYPE D4-N,0,8,Projecteur D4-N=19 ; Projecteur D3-N=4 ; Profilé T=2 ; Rail R12-NS=1 ; Rail R6-NS=1
COUPLING,Projecteur D4-NT1,0.27,15,23,22,29,-7,COUPLING ; FIXTURE TYPE D3-NT1,8,11,Projecteur D4-NT1=4 ; Projecteur D4-N=3 ; Rail R12-NS=3 ; Projecteur D3-N=3 ; Projecteur D3-NT1=1 ; Enseigne sortie U1=1
prise,Prise duplex 15A,0.73,22,23,16,23,-7,,1,6,Prise duplex 15A=16 ; Prise existante relocalisée=4 ; Prise duplex BX caisse=2
FIXTURE TYPE R12-NS,Rail R12-NS,0.63,19,22,23,22,1,,3,7,Rail R12-NS=12 ; Projecteur D3-N=4 ; Projecteur D4-N=1 ; Rail R8-NS=1 ; Rail R6-NS=1
FIXTURE TYPE D4-NT1,Projecteur D3-NT1,0.58,19,19,21,19,2,,0,8,Projecteur D3-NT1=11 ; Projecteur D4-NT1=5 ; Relais NPP20=2 ; Rail R8-NS=1
prise contrler np,Prise duplex BX caisse,0.64,14,14,11,14,-3,,0,5,Prise duplex BX caisse=9 ; Prise duplex circuit indépendant=4 ; Prise 30A L5-30R (UPS)=1
4X4,Descente EMT + boîte 4x4,0.90,10,12,10,12,-2,,2,1,Descente EMT + boîte 4x4=9 ; Boîte 2x2 conduit 3/4 (fenêtres)=1
FIXTURE TYPE T,Profilé T,1.00,11,12,20,12,8,,1,0,Profilé T=11
INFORMATIQUE,Sortie conduit dalle télécom,0.50,10,10,5,10,-5,,0,5,Sortie conduit dalle télécom=5 ; Sortie télécom=5
SN,Haut-parleur suspendu SN,0.90,10,10,9,10,-1,,0,1,Haut-parleur suspendu SN=9 ; Prise duplex affleurement plancher=1
FIXTURE TYPE R8-NS,Rail R8-NS,0.86,7,9,8,9,-1,,2,1,Rail R8-NS=6 ; Projecteur D3-NT1=1
TETE DOUBLE,Phare double U2,0.78,9,9,7,9,-2,,0,2,Phare double U2=7 ; Phare simple U3=2
DP1,,0.00,0,8,0,8,,,8,0,
FIXTURE TYPE J1,Troffer J1,1.00,8,8,8,8,0,,0,0,Troffer J1=8
MONUMENT PLANCHER D,,0.00,0,7,0,7,,,7,0,
FIXTURE TYPE D3-NT1,Projecteur D4-NT1,0.83,6,6,22,29,-7,COUPLING ; FIXTURE TYPE D3-NT1,0,1,Projecteur D4-NT1=5 ; Rail R12-NS=1
BOITE 8X8,Boîte de tirage 8x8,1.00,5,5,5,5,0,,0,0,Boîte de tirage 8x8=5
EXIT U9,Enseigne sortie U1,0.25,4,5,3,5,-2,,1,3,Enseigne sortie U9=1 ; Enseigne sortie — type à confirmer=1 ; Interrupteur NPODMA=1 ; Enseigne sortie U1=1
FIXTURE TYPE R4-NS,Rail R4-NS,1.00,5,5,5,5,0,,0,0,Rail R4-NS=5
FIXTURE TYPE S20-N,Linéaire S20-N,1.00,5,5,5,5,0,,0,0,Linéaire S20-N=5
TETE SIMPLE,Phare simple U3,0.75,4,5,6,5,1,,1,1,Phare simple U3=3 ; Réglette G4=1
DP2,,0.00,0,4,0,4,,,4,0,
FIXTURE TYPE P1,Panneau P1,1.00,4,4,4,4,0,,0,0,Panneau P1=4
NPP-20,Boîte de jonction profilé T,0.67,3,4,5,7,-2,FIXTURE TYPE G4 ; NPP-20,1,1,Boîte de jonction profilé T=2 ; Profilé T=1
PLINTHE RELO,Démo appareil prises/services (E.D.),1.00,2,4,82,53,29,PLINTHE RELO ; PRISE DEPLACER,2,0,Démo appareil prises/services (E.D.)=2
S04,,0.00,0,4,0,4,,,4,0,
WSXA,Détecteur WSXA,1.00,4,4,6,5,1,TH ; WSXA,0,0,Détecteur WSXA=4
FIXTURE TYPE G4,Boîte de jonction profilé T,0.33,3,3,5,7,-2,FIXTURE TYPE G4 ; NPP-20,0,2,Réglette G4=1 ; Boîte de jonction profilé T=1 ; Détecteur WSXA=1
FIXTURE TYPE K3,Réglette K3,1.00,3,3,3,3,0,,0,0,Réglette K3=3
FIXTURE TYPE R6-NS,Projecteur D3-N,0.50,2,3,102,125,-23,FIXTURE D3-N ; FIXTURE TYPE R6-NS,1,1,Projecteur D3-N=1 ; Rail R6-NS=1
WSXA-G,Détecteur WSXA-G,1.00,2,3,4,3,1,,1,0,Détecteur WSXA-G=2
