feuille,type,echelle,note
0ADD5E01IN-p01,autre,,cartouche=Addenda E-01 p.1 (2026-03-10) · Électricité · devis (texte seulement)
0ADD5E01IN-p02,autre,,cartouche=Addenda E-01 p.2 · devis 27 51 23 / 27 53 13 / 28 13 27 / 28 16 00 / 28 31 00 (texte)
E401,autre,,cartouche=Addenda E-01 p.3 (nom provisoire trompeur) · modifications plans E000 E001 E201 E301 E401 (texte) — appliqué au relevé
E602,autre,,cartouche=Addenda E-01 p.4 (nom provisoire trompeur) · modifications E401 E402 E471 E501 E502 (texte) — appliqué au relevé
E701,autre,,cartouche=Addenda E-01 p.5 (nom provisoire trompeur) · modifications E602 E603 E701 (texte) — appliqué au relevé
0ADD5E01IN-p06,autre,,cartouche=Addenda E-01 p.6 · Annexe A – Sections (page de garde)
0ADD5E01IN-p07,autre,,cartouche=Addenda E-01 · devis section 26 09 24 Commandes d'éclairage basse tension p.1
0ADD5E01IN-p08,autre,,cartouche=Addenda E-01 · devis section 26 09 24 p.2
0ADD5E01IN-p09,autre,,cartouche=Addenda E-01 · devis section 26 09 24 p.3
0ADD5E01IN-p10,autre,,cartouche=Addenda E-01 · devis section 26 09 24 p.4
0ADD5E01IN-p11,autre,,cartouche=Addenda E-01 · devis section 26 09 24 p.5
0ADD5E01IN-p12,autre,,cartouche=Addenda E-01 · devis section 26 09 24 p.6
UL924,autre,,cartouche=Addenda E-01 · devis section 26 09 24 p.7 (nom provisoire lu dans le texte)
RS232,autre,,cartouche=Addenda E-01 · devis section 26 09 24 p.8 (nom provisoire lu dans le texte)
0ADD5E01IN-p15,autre,,cartouche=Addenda E-01 · devis section 26 09 24 p.9
0ADD5E01IN-p16,autre,,cartouche=Addenda E-01 · devis section 26 09 24 p.10
0ADD5E01IN-p17,autre,,cartouche=Addenda E-01 · devis section 26 09 24 p.11
0ADD5E01IN-p18,autre,,cartouche=Addenda E-01 · devis section 26 09 24 p.12 (fin de section)
0ADD5E01IN-p19,autre,,cartouche=Addenda E-01 p.7 · Annexe B – Extraits (page de garde)
E602_2,detail,,cartouche=Addenda E-01 annexe B · détail 12/E602 révisé (registre coupe-feu/fumée au mur) — aucune quantité propre
0ADD5E01IN-p21,schema,,cartouche=Addenda E-01 annexe B · extrait E471 révisé (diagramme de signalisation alarme incendie) partie 1
0ADD5E01IN-p22,schema,,cartouche=Addenda E-01 annexe B · extrait E471 révisé (diagramme de signalisation alarme incendie) partie 2
ADD01_ADD,autre,,cartouche=Addenda E-02 p.1 (2026-03-20) · Électricité · devis (texte ; page lue malgré la note « scan »)
E502_ADD,autre,,cartouche=Addenda E-02 p.2 · modifications E301 E302 E401 E501 (texte) — appliqué au relevé
E701_ADD,autre,,cartouche=Addenda E-02 p.3 · modifications E502 E581 E601 E701 (texte) — appliqué au relevé
E000,autre,,cartouche=E000 · PAGE DE PRÉSENTATION (liste des plans)
E001,legende,,cartouche=E001 · LÉGENDE ET TABLEAUX
E002,plan,200,cartouche=E002 · IMPLANTATION (1:200) + détails d'installation
E101,plan,100,cartouche=E101 · TOITURE (1:100)
E201,plan,100,cartouche=E201 · ÉCLAIRAGE NIVEAU 1 (1:100) + T-01 tableau des luminaires + liste éclairage d'urgence
E202,plan,100,cartouche=E202 · ÉCLAIRAGE NIVEAU 2 (1:100)
E271,schema,,cartouche=E271 · DIAGRAMMES DES CONTRÔLES D'ÉCLAIRAGE NIVEAU 2 (typiques ; appareils comptés en plan)
E301,plan,100,cartouche=E301 · SERVICES NIVEAU 1 (1:100) + T-03 tableau des appareils de chauffage
E302,plan,100,cartouche=E302 · SERVICES NIVEAU 2 (1:100)
E303,plan,100,cartouche=E303 · CHEMINEMENT DES ARTÈRES NIVEAU 1 (1:100) — conduits d'artères seulement
E304,plan,100,cartouche=E304 · CHEMINEMENT DES ARTÈRES NIVEAU 2 (1:100) — conduits d'artères seulement
E401_2,plan,100,cartouche=E401 · ALARME INCENDIE NIVEAU 1 (1:100) (vrai E401 ; « E401 » de prepare.py = page d'addenda)
E402,plan,100,cartouche=E402 · ALARME INCENDIE NIVEAU 2 (1:100)
E471,schema,100,cartouche=E471 · DIAGRAMME D'ALARME INCENDIE (signalisation modifiée par addenda E-01)
E501,schema,,cartouche=E501 · DISTRIBUTION ÉLECTRIQUE (unifilaire)
E502,tableau,,cartouche=E502 · PANNEAUX ÉLECTRIQUES (cédules P1 P2 P3 P4 P5 P6 PA PB)
E581,tableau,,cartouche=E581 · TABLEAUX DE RACCORDEMENTS MÉCANIQUES (T-06 à T-15)
E601,detail,,cartouche=E601 · DÉTAILS
E602_3,detail,,cartouche=E602 · DÉTAILS (vrai E602 ; détail 12 remplacé par addenda E-01 → E602_2)
E603,detail,,cartouche=E603 · DÉTAILS (alarme intrusion)
E604,detail,,cartouche=E604 · DÉTAILS DE PORTES (contrôle d'accès ; appareils comptés sur E701)
E701_2,plan,100,cartouche=E701 · SERVICES AUXILIAIRES NIVEAU 1 (1:100) + T-05 tableaux intrusion (vrai E701)
E702,plan,100,cartouche=E702 · SERVICES AUXILIAIRES NIVEAU 2 (1:100)
E751,detail,100,cartouche=E751 · SERVICES AUXILIAIRES – ÉLÉVATIONS (caméras extérieures ; comptées sur E701)
E901,detail,50,cartouche=E901 · CLASSE TYPIQUE (agrandissement 1:50 de E201/E301 ; non compté pour éviter le double compte)
