feuille,type,echelle,note
E100,legende,,cartouche=E100 · ÉLECTRIQUE DEVIS GÉNÉRAL NOTES TABLEAUX & DÉTAILS (légendes prises/éclairage/alarme/communications/distribution + devis + tableau chauffage condos) · échelle AUCUNE
E101,tableau,,cartouche=E101 · ÉLECTRIQUE PANNEAUX DIAGRAMMES TABLEAUX & DÉTAILS (cédules panneaux logements types 1.1 à 4 et communs S/S1.1/S2.1/UE/UNE/PC/PP · tableau chauffage · tableau enseignes/urgence · tableau luminaires « À VENIR » · diagramme télécom) · échelle AUCUNE
E102,schema,,cartouche=E102 · ÉLECTRIQUE SCHÉMA UNIFILAIRE & DEVIS DE PERFORMANCE (unifilaire + bancs de compteurs + schémas typiques ascenseurs ; partie génératrice marquée « À VENIR ») · échelle AUCUNE
E103,tableau,,cartouche=E103 · ÉLECTRIQUE RÉFÉRENCE ÉQUIPEMENT MÉCANIQUE DÉTAILS & DEVIS PERFORMANCE (tableaux pompes/aérothermes/évaporateurs/condenseurs/bouilloire · détails · éclairage devis de performance) · échelle AUCUNE
E104,autre,,cartouche=E104 · ÉLECTRIQUE DEVIS GÉNÉRATRICE (texte de devis) · échelle AUCUNE
E105,autre,,cartouche=E105 · ÉLECTRIQUE DEVIS ALARME INCENDIE (texte de devis) · échelle AUCUNE
E106,schema,,cartouche=E106 · ÉLECTRIQUE DIAGRAMME D'ALARME INCENDIE DÉTECTION & LISTE DES ZONES · échelle AUCUNE
E107,schema,,cartouche=E107 · ÉLECTRIQUE DIAGRAMME D'ALARME INCENDIE DÉTECTION (SUITE) TOUR-1 · échelle AUCUNE
E108,schema,,cartouche=E108 · ÉLECTRIQUE DIAGRAMME D'ALARME INCENDIE SIGNALISATION (SUITE) TOUR-2 (titre de diagramme : DÉTECTION) · échelle AUCUNE
E109,schema,,cartouche=E109 · ÉLECTRIQUE DIAGRAMME D'ALARME INCENDIE SIGNALISATION · échelle AUCUNE
E110,schema,,cartouche=E110 · ÉLECTRIQUE DIAGRAMME D'ALARME INCENDIE DEVIS ALARME INCENDIE (signalisation TOUR-1) · échelle AUCUNE
E111,schema,,cartouche=E111 · ÉLECTRIQUE DIAGRAMME D'ALARME INCENDIE SIGNALISATION (SUITE) TOUR-2 · échelle AUCUNE
E200,plan,128,cartouche=E200 · PRISES ÉQUIPEMENTS RACCORDEMENT MÉCANIQUE : PLAN DU SOUS-SOL · 3/32po=1pi-0po (≈1:128)
E201,plan,128,cartouche=E201 · PRISES ÉQUIPEMENTS & RACCORDEMENT MÉCANIQUES : PLAN DU RDC · 3/32po=1pi-0po (≈1:128)
E202,plan,128,cartouche=E202 · PRISES ÉQUIPEMENTS & RACCORDEMENT MÉCANIQUE : PLAN DU 2E · 3/32po=1pi-0po (≈1:128)
E203,plan,128,cartouche=E203 · PRISES ÉQUIPEMENTS & RACCORDEMENT MÉCANIQUE : PLAN DU 3E · 3/32po=1pi-0po (≈1:128)
E204,plan,128,cartouche=E204 · PRISES ÉQUIPEMENTS & RACCORDEMENT MÉCANIQUE : PLAN DU 4E · 3/32po=1pi-0po (≈1:128)
