label,famille,forme,rgb,jeton_regex,description,source
Luminaire DS0,luminaire,cercle,,DS0,STANPRO CDU4R-G2 encastré rond LED 9W 765lm,E102 tableau des appareils d'éclairage
Luminaire DS1,luminaire,carre,,DS1,STANPRO L2STR-48 linéaire LED 38W 2640lm,E102 tableau des appareils d'éclairage
Luminaire DS2,luminaire,,,DS2,STANPRO CDU6R-G2 encastré rond LED 16W,E102 tableau des appareils d'éclairage
Luminaire DS4,luminaire,,,DS4,STANPRO L1KSL-4LS2U LED 20W,E102 tableau des appareils d'éclairage
Luminaire DR2,luminaire,,,DR2,LITHONIA BLWP2 enveloppant LED 17W plafond/mur,E102 tableau des appareils d'éclairage
Luminaire DR5,luminaire,,,DR5,LITHONIA BLWP4 enveloppant LED 20W plafond/mur,E102 tableau des appareils d'éclairage
Luminaire DR51,luminaire,,,DR51,LITHONIA BLWP4 DIM10 38W détecteur mvt 2 niveaux,E102 tableau des appareils d'éclairage
Luminaire DR52,luminaire,,,DR52,LITHONIA BLWP4 DIM10 38W détecteur mvt 2 niveaux,E102 tableau des appareils d'éclairage
Luminaire DW4,luminaire,,,DW4,STANPRO L2STR-48 LED 38W 5776lm,E102 tableau des appareils d'éclairage
Luminaire DW42,luminaire,,,DW42,STANPRO L2STR-48 LED 38W 5776lm,E102 tableau des appareils d'éclairage
Luminaire mural DMW1,luminaire,,,DMW1,SNOC 81557BK LED 7W mural extérieur (sur CME-01),E102 tableau des appareils d'éclairage ; symbole mural E103
Phare simple PH1,secours,triangle,,PH1,Phare d'urgence simple DEL 4W 12V (E-19) étiqueté PH1,E104 éclairage d'urgence ; E102 E-19
Phare double,secours,triangle,,,Phare d'urgence double DEL 2x4W 12V (E-20) sans étiquette,E104 éclairage d'urgence ; E102 E-20
Accumulateur 36W,secours,carre,,36W,Accumulateur 12V 36W avec phares intégrés,E104 éclairage d'urgence (accumulateur + phare double) ; E102 E-21
Accumulateur 36W + enseigne,secours,carre,,,Accumulateur 36W avec phares et enseigne d'issue intégrés,E104 éclairage d'urgence (accumulateur + phare double + enseigne)
Accumulateur 18W + enseigne,secours,carre,,,Accumulateur 18W avec phares et enseigne d'issue intégrés,E104 éclairage d'urgence
Enseigne de sortie,secours,losange,,,Enseigne d'issue (homme qui court) E-18 — face/montage non distingués,E104 éclairage d'urgence ; E102 E-18
Détecteur inoccupation Do,commande,cercle,,Do,Détecteur infrarouge d'inoccupation (DO) LEVITON DVS15,E103 éclairage ; E102 E-13
Détecteur occupation Di,commande,cercle,,Di,Détecteur infrarouge d'occupation (DI) LEVITON DOS15,E103 éclairage ; E102 E-12
Bouton-poussoir B,commande,cercle,,B,Bouton-poussoir (B dans un carré) de contrôle d'éclairage,E104 distribution « B » bouton-poussoir
Bloc d'alimentation Ba,commande,cercle,,Ba,Bloc d'alimentation pour contrôle d'éclairage par détection (Ba EP),E103 éclairage « Ba »
Interrupteur,commande,cercle,,,Interrupteur $ (lettre de commande),E103 éclairage ; E102 E-09
Klaxon,alarme,cercle,,K,Klaxon d'alarme incendie (hexagone K),E103 alarme incendie
Klaxon Ei,alarme,cercle,,,Klaxon d'alarme incendie à l'épreuve des intempéries,E103 alarme incendie
Détecteur de fumée,alarme,cercle,,F,Détecteur de fumée adressable (hexagone F) MIX-4010,E103 alarme ; E102 E-58
Détecteur thermique,alarme,cercle,,T,Détecteur thermique (hexagone T) MIX-4030,E103 alarme ; E102 E-59
Poste manuel,alarme,carre,,M,Poste manuel d'alarme incendie (hexagone M) MS-401,E103 alarme ; E102 E-62
Module isolateur Mi,alarme,cercle,,Mi,Module isolateur d'alarme incendie,E103 alarme
Module de supervision Sx,alarme,cercle,,Sx,Module de supervision MIX-4040,E103 alarme ; E102 E-65
Module de commande Cx,alarme,cercle,,Cx,Module de commande MIX-4045,E103 alarme ; E102 E-63
Interrupteur fin de course Ls,alarme,cercle,,Ls,Interrupteur de fin de course (vanne) dédié alarme,E103 alarme
Indicateur de débit ID,alarme,cercle,,ID,Indicateur de débit des gicleurs,E103 alarme
