label,famille,forme,rgb,jeton_regex,description,source
Luminaire A1,luminaire,cercle,,A1,Encastré DEL Cooper 24CZSO13-UNV-LOW-3500K 24 VA 120 V,E101_ADD tableau des luminaires ligne A1 + E002_ADD légende éclairage
Lampadaire D1,luminaire,cercle,,D1,Lampadaire Cooper G4LN-SA2B-830-U-T4W 82 VA 347 V sur fût 22 pi (base béton détail H/E-101),E101_ADD tableau des luminaires ligne D1
Luminaire L1,luminaire,cercle,,L1,Encastré DEL Axis BBRLED-500-80-35-FL-8 78 VA,E101_ADD tableau des luminaires ligne L1
Luminaire L2,luminaire,cercle,,L2,Encastré DEL Axis BBRLED-500-80-35-FL-28 269 VA,E101_ADD tableau des luminaires ligne L2
Luminaire L3,luminaire,cercle,,L3,Surface Cooper 4SNX-41SL-LW-UNV-L840-CD 26 VA,E101_ADD tableau des luminaires ligne L3
Luminaire L3A,luminaire,cercle,,L3A,Surface Cooper 4SNX-41SL-LW-UNV-L840-CD 26 VA (HM 2800),E101_ADD tableau des luminaires ligne L3A
Luminaire L4,luminaire,cercle,,L4,Surface Cooper 4VT3-LD5-6-G-UNV-L840-CD1-U 51 VA,E101_ADD tableau des luminaires ligne L4
Luminaire L4A,luminaire,cercle,,L4A,Surface Cooper 4VT3-LD5-6-G-UNV-L840-CD1-U + VT3-SS-VBK 51 VA,E101_ADD tableau des luminaires ligne L4A
Luminaire mural M1,luminaire,cercle,,M1,Au mur Cooper GWC-SA1A-830-U-T4W 34 VA,E101_ADD tableau des luminaires ligne M1
Projecteur P1,luminaire,cercle,,P1,Projecteur RGBW SSL CLZMF-UNV-RGBW-BK-80 sur colonne 85 VA (DMX),E101_ADD tableau des luminaires ligne P1 (rév. 2)
Luminaire suspendu R1,luminaire,cercle,,R1,Suspendu Cooper UHBS2-2436-MV-L8C5-U 153 VA (patinoire),E101_ADD tableau des luminaires ligne R1 (rév. 2)
Luminaire R2,luminaire,cercle,,R2,Encastré Cooper LCR4-08-RD-9FS-E020 11 VA,E101_ADD tableau des luminaires ligne R2
Luminaire R3,luminaire,cercle,,R3,Encastré Cooper LCR615RD9FSE040-18W-3000K 18 VA (marquise),E101_ADD tableau des luminaires ligne R3
Indicateur d'issue Z1 (mur) — à confirmer,secours,carre,,Z1,Indicateur d'issue au mur; type Z1 absent du tableau des luminaires,E002_ADD légende indicateurs d'issue + étiquette Z1 E201_ADD
Indicateur d'issue Z2 (plafond) — à confirmer,secours,carre,,Z2,Indicateur d'issue au plafond; type Z2 absent du tableau des luminaires,E002_ADD légende indicateurs d'issue + étiquette Z2 E201_ADD
Accumulateur AUBX,secours,carre,,,Accumulateur d'éclairage de secours avec tête double type AUBX (72 W),E002_ADD légende indicateurs d'issue ligne AUBX
Tête d'éclairage simple,secours,cercle,,,Tête simple type A au mur alimentée par accumulateur,E002_ADD légende indicateurs d'issue
Tête d'éclairage double,secours,cercle,,,Tête double type A au mur alimentée par accumulateur,E002_ADD légende indicateurs d'issue
Détecteur de présence 360°,commande,cercle,,D,Détecteur de présence 360° (WaveLinx OSC-C-Pxx),E002_ADD légende contrôle d'éclairage de ligne
Interrupteur basse tension,commande,cercle,,,Interrupteur basse tension (poste WaveLinx WST),E002_ADD légende contrôle d'éclairage de ligne
Poste BT double (a/b),commande,cercle,,3a|c,Paire d'interrupteurs BT 3a/3b ou c/d = un poste WaveLinx WST-C-3 (une marque par paire),E002_ADD légende + E003_ADD schéma (WST-C-3)
Gradateur basse tension,commande,cercle,,,Gradateur basse tension (poste WaveLinx WST-C-3D),E002_ADD légende contrôle d'éclairage de ligne
Interrupteur unipolaire,commande,cercle,,,Interrupteur unipolaire 120 V,E002_ADD légende contrôle d'éclairage de ligne
Panneau de contrôle P1 (note 1),commande,carre,,,Panneau de contrôle d'éclairage des appareils type P1 (note spécifique 1 E-201),E201_ADD note spécifique 1
Armoire de relais BT (P.R.),commande,carre,,P\.R\.,Armoire de relais basse tension,E002_ADD légende contrôle d'éclairage basse tension
Contrôleur WaveLinx RSP-C-347-Z1,commande,carre,,,Contrôleur de luminaire RSP-C-347-Z1 (schéma WaveLinx CAT),E003_ADD schéma de raccordement
Terminaison ACC-C-TP,commande,carre,,,Terminaison RJ45 ACC-C-TP de fin de segment CAT5e,E003_ADD schéma de raccordement
Concentrateur WAH-C-POE-ID,commande,carre,,,Concentrateur WaveLinx WAH-C-POE-ID (salle électrique 109),E003_ADD schéma de raccordement
Commutateur PoE GS308PP,commande,carre,,,Commutateur PoE GS308PP (salle électrique 109),E003_ADD schéma de raccordement
Contrôleur de zone WAC2-POE,commande,carre,,,Contrôleur de zone WaveLinx WAC2-POE (salle électrique 109),E003_ADD schéma de raccordement
Poste manuel,alarme,carre,,F,Poste manuel d'alarme incendie,E002_ADD légende alarme incendie
Klaxon alarme incendie,alarme,cercle,,,Signalisation sonore type klaxon (F avec triangle),E002_ADD légende alarme incendie
Klaxon + stroboscope,alarme,cercle,,S,Klaxon et lampe stroboscopique au mur,E002_ADD légende alarme incendie
Détecteur de fumée,alarme,cercle,,,Détecteur de fumée,E002_ADD légende alarme incendie
Détecteur de fumée de conduit (note 2),alarme,cercle,,,Détecteur de fumée installé dans un conduit pour volets coupe-feu,E201_ADD note spécifique 2
Relais adressable RA,alarme,carre,,RA,Relais adressable d'alarme incendie,E002_ADD légende alarme incendie
Panneau d'alarme incendie (PAI),alarme,carre,,PAI,Panneau d'alarme incendie (cédule RC-PSNO-200 cct 61),E201_ADD étiquette PAI + E002_ADD cédule
Prise double 15A,prise,cercle,,,Prise double 15A 120V (5-15R),E002_ADD légende prises de courant
Prise au-dessus du comptoir,prise,cercle,,,Prise double 15A au-dessus du comptoir,E002_ADD légende prises de courant
Prise double USB,prise,cercle,,USB,Prise double 15A avec port USB,E002_ADD légende prises de courant
Prise hauteur spéciale,prise,cercle,,,Prise double 15A hauteur spéciale,E002_ADD légende prises de courant
Prise 15/20A (5-20R),prise,cercle,,,Prise double 15A/20A 120V (5-20R),E002_ADD légende prises de courant
Prise au plafond,prise,cercle,,,Prise double 15A installée au plafond,E002_ADD légende prises de courant
Prise DDFT,prise,carre,,,Prise double 15A avec disjoncteur différentiel classe A,E002_ADD légende prises de courant
Prise DDFT intempéries,prise,carre,,,Prise double DDFT à l'épreuve des intempéries,E002_ADD légende prises de courant
Prise DDFT fontaine réfrigérée,prise,carre,,FR,Prise double DDFT pour fontaine réfrigérée,E002_ADD légende prises de courant
