label,famille,forme,rgb,jeton_regex,description,source
Luminaire A1,luminaire,cercle,,A1,DEL rond encastré Exenia Dark Compact DF1R 29.6W 2700K 400lm 120V blanc,E001 tableau d'appareils d'éclairage ligne A1
Luminaire A2,luminaire,cercle,,A2,DEL rond encastré UTechnology UT-DLE-US-6-R-27 15W 1650lm (ébénisterie),E001 tableau d'appareils d'éclairage ligne A2
Luminaire A3,luminaire,cercle,,A3,DEL rond suspendu Delta Light SPY 39 blanc 6.7W 625lm,E001 tableau d'appareils d'éclairage ligne A3
Luminaire A4,luminaire,cercle,,A4,DEL rond encastré Exenia RP4R 18W 1000lm noir (symbole multiple),E001 tableau d'appareils d'éclairage ligne A4
Luminaire A5,luminaire,cercle,,A5,DEL rond suspendu Delta Light SPY 39 6.7W 625lm,E001 tableau d'appareils d'éclairage ligne A5
Luminaire A6,luminaire,cercle,,A6,DEL rond encastré Meteor RS4R 60W 6500lm,E001 tableau d'appareils d'éclairage ligne A6
Luminaire A7,luminaire,cercle,,A7,DEL rond encastré Exenia Dark Compact 29.6W 2000lm,E001 tableau d'appareils d'éclairage ligne A7
Luminaire A8,luminaire,cercle,,A8,DEL rond encastré Exenia Dark Compact 29.6W 3000K 400lm blanc,E001 tableau d'appareils d'éclairage ligne A8 (nuage de révision)
Luminaire A9,luminaire,carre,,A9,Luminaire DEL Columbia CSL4-A-LSCS 4400lm 3500K en surface (rectangulaire),E001 tableau d'appareils d'éclairage ligne A9 (nuage de révision)
Luminaire B1,luminaire,cercle,,B1,DEL rond applique murale Richporter BL60-364 2700K,E001 tableau d'appareils d'éclairage ligne B1 (nuage de révision)
Luminaire B2,luminaire,cercle,,B2,DEL rond applique murale Richporter BL60-362 2700K blanc,E001 tableau d'appareils d'éclairage ligne B2
Luminaire B3,luminaire,cercle,,B3,DEL rond applique murale Lambert et Fils SIL-2W 14.8W 678lm,E001 tableau d'appareils d'éclairage ligne B3
Luminaire B4,luminaire,cercle,,B4,DEL rond applique murale RBW MS-2-27 9W,E001 tableau d'appareils d'éclairage ligne B4
Luminaire B5,luminaire,cercle,,B5,DEL rond applique murale RBW QS-24-A-04-01 noir anodisé,E001 tableau d'appareils d'éclairage ligne B5
Luminaire B6,luminaire,cercle,,B6,DEL rond applique murale Richporter BL60-365 base blanche,E001 tableau d'appareils d'éclairage ligne B6
Luminaire B7,luminaire,carre,,B7,DEL rectangulaire applique à fournir par autre (linéaire),E001 tableau d'appareils d'éclairage ligne B7
Luminaire B8,luminaire,cercle,,B8,DEL rond applique RBW MP-5-27 7.1W 517lm,E001 tableau d'appareils d'éclairage ligne B8
Luminaire B9,luminaire,carre,,B9,DEL rectangulaire Omnistick Mini Frost 2.4W/pi ébénisterie spa (linéaire),E001 tableau d'appareils d'éclairage ligne B9
Luminaire C1,luminaire,cercle,,C1,DEL rond suspendu RBW 9W 532lm,E001 tableau d'appareils d'éclairage ligne C1
