feuille,fichier,page,largeur_pt,hauteur_pt,raster_px,classement_fichier,nb_mots,jetons_frequents,titre
E001,26-0108-02_ELECTRICITE_POUR SOUMISSION.pdf,1,3456.00,2592.00,5694x4271,plans,6614,DE×382 LES×319 ET×225 DES×145 À×143 LA×128 LE×111 POUR×93 DU×76 EN×76 OU×63 DANS×58 UN×51 ÊTRE×50 PAR×50 AVEC×49 TOUS×46 DOIT×46 TRAVAUX×44 AUX×43 AU×43 SERONT×40 ·×37 TYPE×36 TOUT×35,"TITRE DU PROJET SAQ VARENNES VARENNES, QC, J3X 1P7 LISTE DES DESSINS TITRE DU DESSIN DEVIS (514)-508-6325 NO. PAGE DESSINS TITRE 1 E001 DEVIS - CONDITIONS GÉNÉR"
E002,26-0108-02_ELECTRICITE_POUR SOUMISSION.pdf,2,3456.00,2592.00,5694x4271,plans,268,DE×10 ET×9 LA×7 LES×6 POUR×6 LE×6 DES×6 DU×6 PAR×5 D'ÉCLAIRAGE×4 EN×4 CONTRÔLE×4 NOTES×3 AVEC×3 TITRE×3 DEVRA×3 FOURNISSEUR×3 ÉLECTRICIEN×3 MISE×3 NO×3 HAUTEURS×2 COORDONNER×2 PLAN×2 D'APPAREIL×2 MARCHE×2,"TITRE DU PROJET SAQ VARENNES VARENNES, QC, J3X 1P7 TITRE DU DESSIN (514)-508-6325 DEVIS SAQ - DISCIPLINE WWW.DIREKTION.COM ÉLECTRIQUE CONÇU PAR DATE (AAAA-MM-JJ"
E100,26-0108-02_ELECTRICITE_POUR SOUMISSION.pdf,3,3456.00,2592.00,5694x4271,plans,1715,DE×106 -×48 ET×38 À×38 PAR×26 POUR×24 AU×23 LA×21 AVEC×20 EN×19 LE×18 DU×18 BOÎTE×16 OU×16 LES×15 SURFACE×14 DES×13 MODÈLE×13 SORTIE×12 EXISTANT×11 ÉLECTRIQUE×11 120V×11 SUR×11 QUE×11 INSTALLÉ×10,"TITRE DU PROJET SAQ VARENNES VARENNES, QC, J3X 1P7 TITRE DU DESSIN (514)-508-6325 LÉGENDE - DISCIPLINE WWW.DIREKTION.COM ÉLECTRIQUE CONÇU PAR DATE (AAAA-MM-JJ) "
E101,26-0108-02_ELECTRICITE_POUR SOUMISSION.pdf,4,3456.00,2592.00,5694x4271,plans,1560,"DE×36 BLANC×31 120V×27 Pas×26 intégrés×26 d'ampoule,×25 LEDS×25 /×24 AVEC×24 RAIL×21 GRADATION×19 0-10V×18 NOIR×18 INCLUSE×17 STANPRO×17 AU×16 TIGE×16 PROJECTEUR×15 LED,×15 FIXATION×12 ET×11 de×11 POUR×11 SUR×11 SUSPENDU×11","TITRE DU PROJET SAQ VARENNES VARENNES, QC, J3X 1P7 TITRE DU DESSIN (514)-508-6325 LÉGENDE SUITE - DISCIPLINE WWW.DIREKTION.COM ÉLECTRIQUE CONÇU PAR DATE (AAAA-M"
E102,26-0108-02_ELECTRICITE_POUR SOUMISSION.pdf,5,3456.00,2592.00,5694x4271,plans,212,"E.C.×7 ET×6 PAR×6 LES×5 347/600V×4 POUR×4 DES×3 DE×3 PANNEAUX×3 TÉLÉCOM×3 ÉLECTRIQUE×3 NO×3 DU×3 200A×2 NOTES×2 DISTRIBUTION×2 CIRCUITS×2 TOUS×2 CTS×2 ENTRÉE×2 EXISTANTE×2 À×2 -×2 J.×2 BACHKONGI,×2","TITRE DU PROJET SAQ VARENNES VARENNES, QC, J3X 1P7 TITRE DU DESSIN (514)-508-6325 DIAGRAMMES, PANNEAUX ET CALCULS - DISCIPLINE WWW.DIREKTION.COM ÉLECTRIQUE CONÇ"
E103,26-0108-02_ELECTRICITE_POUR SOUMISSION.pdf,6,3456.00,2592.00,5694x4271,plans,1661,-×53 nLight×50 Type×34 N×29 TYPE×27 /×25 NPP16×25 Riser×24 EFP×24 WHITE×23 D×22 THE×21 D3-N×20 BLUE×20 2×19 CAT5e×16 347×16 H×15 A×14 LOAD×14 ON×14 D4-N×13 T×13 TO×13 To×12,1 3. WHITE w/ 8. BROWN GREEN 2 4. BLUE Notes: NNECTOR Daisy-chain CAT5 patch cable with RJ45 connectors from digital device to TITRE DU PROJET RJ45 CONNECTOR di
E200D,26-0108-02_ELECTRICITE_POUR SOUMISSION.pdf,7,3456.00,2592.00,5694x4271,plans,1157,"E.D.×82 E.C.×50 LES×40 PA×27 DE×27 ET×26 NOTE×22 À×21 LA×20 DES×18 BX×16 PP×16 POUR×15 102""×14 T×11 TOUS×11 -×10 DÉMOLITION×10 DANS×9 PAR×9 89""×8 EN×8 LE×8 DU×8 ÉQUIPEMENTS×8","TITRE DU PROJET SAQ VARENNES VARENNES, QC, J3X 1P7 TITRE DU DESSIN ÉLECTRICITÉ (514)-508-6325 PRISES & SERVICES REZ-DE-CHAUSSÉE DÉMOLITION - DISCIPLINE WWW.DIRE"
E200,26-0108-02_ELECTRICITE_POUR SOUMISSION.pdf,8,3456.00,2592.00,5694x4271,plans,1116,PA×70 N.×65 E.C.×47 DE×35 À×20 PP×18 DANS×17 NOTE×17 LE×14 1×13 -×13 PAR×12 LES×12 CONDUIT×11 2×9 :×9 22''×9 3×8 CONDUITS×8 UN×8 ET×8 LA×8 DU×8 AU×8 EST×7,"TITRE DU PROJET SAQ VARENNES VARENNES, QC, J3X 1P7 TITRE DU DESSIN ÉLECTRICITÉ (514)-508-6325 PRISES & SERVICES REZ-DE-CHAUSSÉE CONSTRUCTION - DISCIPLINE WWW.DI"
E201,26-0108-02_ELECTRICITE_POUR SOUMISSION.pdf,9,3456.00,2592.00,5694x4271,plans,127,"PAR×6 PLAN×3 DE×3 CONSTRUCTION×3 NO×3 DU×3 POUR×3 0×2 TOITURE×2 -×2 EXISTANT×2 /×2 E.C.×2 ÉLECTRIQUE×2 J.×2 BACHKONGI,×2 DATE×2 (AAAA-MM-JJ)×2 PROJET×2 TITRE×2 Échelle×1 1/4"":1'-0""×1 2'-0""×1 4'-0""×1 1'-0""×1","TITRE DU PROJET SAQ VARENNES VARENNES, QC, J3X 1P7 TITRE DU DESSIN ÉLECTRICITÉ (514)-508-6325 PLAN DE TOITURE EXISTANT / CONSTRUCTION - DISCIPLINE WWW.DIREKTION"
E300D,26-0108-02_ELECTRICITE_POUR SOUMISSION.pdf,10,3456.00,2592.00,5694x4271,plans,1182,"LES×42 H×35 C×34 DE×33 R×32 ET×31 NOTE×28 LA×22 L.:×21 NIV.×19 DES×19 À×19 W×18 12'-6""×14 POUR×14 TOUS×12 LE×12 DÉMOLITION×10 J×10 PA×10 -×9 S2×9 DANS×9 PAR×9 (9)×9","TITRE DU PROJET SAQ VARENNES VARENNES, QC, J3X 1P7 TITRE DU DESSIN ÉLECTRICITÉ (514)-508-6325 ÉCLAIRAGE REZ-DE-CHAUSSÉE DÉMOLITION - DISCIPLINE WWW.DIREKTION.CO"
