feuille,type,echelle,note
EL001,remplacee,,cartouche=EL001 · LÉGENDE ET SPÉCIFICATIONS (rév. 0) — remplacée par EL001_ADD_2 (add. 4)
EL001_ADD,remplacee,,cartouche=EL001 · LÉGENDE ET SPÉCIFICATIONS (rév. 1 add. 1) — remplacée par EL001_ADD_2
EL001_ADD_2,legende,,cartouche=EL001 · LÉGENDE ET SPÉCIFICATIONS (rév. 2 add. 4) — version retenue
EL101,plan,300,cartouche=EL101 · IMPLANTATION ET BRANCHEMENT PROVISOIRE (rév. 0) — échelle lue 1:300 à confirmer
EL102,remplacee,,cartouche=EL102 · NOUVEAU BRANCHEMENT / IMPLANTATION (rév. 0) — remplacée par EL102_ADD
EL102_ADD,plan,,cartouche=EL102 · NOUVEAU BRANCHEMENT / IMPLANTATION (rév. 1 add. 1) — EL102 annoncée à l'add. 4 non reçue
EL103,detail,,cartouche=EL103 · DÉTAILS HQ (rév. 0) — non relevé (détails de massifs/transformateur)
EL104,plan,,cartouche=EL104 · ÉCLAIRAGE EXTÉRIEUR / BORNES VE (rév. 0)
EL201,remplacee,,cartouche=EL201 · NOUVEAU SCHÉMA DE DISTRIBUTION (rév. 0) — remplacée par EL201_ADD_2
EL201_ADD,remplacee,,cartouche=EL201 · rév. 1 add. 1 — remplacée par EL201_ADD_2
EL201_ADD_2,schema,,cartouche=EL201 · NOUVEAU SCHÉMA DE DISTRIBUTION ÉLECTRIQUE (rév. 2 add. 2) — version retenue
EL202,remplacee,,cartouche=EL202 · DÉTAILS ET DISTRIBUTION (rév. 0) — remplacée par EL202_ADD_2
EL202_ADD,remplacee,,cartouche=EL202 · rév. 1 add. 1 — remplacée par EL202_ADD_2
EL202_ADD_2,tableau,,cartouche=EL202 · DÉTAILS ET DISTRIBUTION (rév. 2 add. 2) — cédules PS1..PS4 + MALT
EL301,remplacee,,cartouche=EL301 · ÉCLAIRAGE RDC BÂTIMENT EXISTANT (rév. 0) — remplacée par EL301_ADD
EL301_ADD,plan,100,cartouche=EL301 · ÉCLAIRAGE RDC BÂTIMENT EXISTANT (rév. 1 add. 1)
EL302,plan,100,cartouche=EL302 · ÉCLAIRAGE RDC BÂTIMENT EXISTANT — RÉAMÉNAGEMENT (rév. 0)
EL303,remplacee,,cartouche=EL303 · ÉCLAIRAGE RDC AGRANDISSEMENT (rév. 0) — remplacée par EL303_ADD
EL303_ADD,plan,100,cartouche=EL303 · ÉCLAIRAGE RDC AGRANDISSEMENT (rév. 1 add. 1)
EL304,plan,100,cartouche=EL304 · ÉCLAIRAGE NIVEAU 2 BÂTIMENT EXISTANT (rév. 0)
EL305,remplacee,,cartouche=EL305 · ÉCLAIRAGE NIVEAU 2 AGRANDISSEMENT (rév. 0) — remplacée par EL305_ADD
EL305_ADD,plan,100,cartouche=EL305 · ÉCLAIRAGE NIVEAU 2 AGRANDISSEMENT (rév. 1 add. 1)
EL401,plan,100,cartouche=EL401 · SERVICES RDC BÂTIMENT EXISTANT — DÉMOLITION (rév. 0) — aucun appareil neuf ni démoli marqué
EL402,plan,100,cartouche=EL402 · SERVICES RDC BÂTIMENT EXISTANT — RÉAMÉNAGEMENT (rév. 0)
EL403,remplacee,,cartouche=EL403 · SERVICES RDC AGRANDISSEMENT (rév. 0) — remplacée par EL403_ADD_3
