label,famille,forme,rgb,jeton_regex,description,source
Armoire distribution CDP-1,distribution,carre,,,Armoire distribution CDP-1,EL201/EL202 unifilaire et distribution (add. 2)
Barre MALT cuivre 6x50x508,distribution,carre,,,Barre MALT cuivre 6x50x508,EL201/EL202 unifilaire et distribution (add. 2)
Batterie urgence UA,secours,cercle,,,Batterie urgence UA,EL001 (add. 4) légende éclairage d'urgence
Bloc relais DP1,commande,cercle,,,Bloc relais DP1,EL001 (add. 4) tableau des contrôles d'éclairage
Bloc relais DP3,commande,cercle,,,Bloc relais DP3,EL001 (add. 4) tableau des contrôles d'éclairage
Bollard protection,distribution,carre,,,Bollard protection,EL201/EL202 unifilaire et distribution (add. 2)
Borne recharge VE double,distribution,carre,,,Borne recharge VE double,EL201/EL202 unifilaire et distribution (add. 2)
Bouton contrôle d'accès,autre,trapeze,,,Bouton contrôle d'accès,EL001 légende contrôle d'accès / EL403-EL405
Boîte PS1 — à confirmer,commande,cercle,,,Boîte PS1 — à confirmer,EL001 (add. 4) tableau des contrôles d'éclairage — hors légende
Boîte contact ascenseur,alarme,cercle,,,Boîte contact ascenseur,EL001 (add. 4) légende alarme incendie
Boîte contrôle de porte,autre,trapeze,,,Boîte contrôle de porte,EL001 légende contrôle d'accès / EL403-EL405
Boîte de jonction murale,distribution,carre,,,Boîte de jonction murale,EL201/EL202 unifilaire et distribution (add. 2)
Boîte de tirage 30x20x10,distribution,carre,,,Boîte de tirage 30x20x10,EL201/EL202 unifilaire et distribution (add. 2)
Boîte mesurage HQ,distribution,carre,,,Boîte mesurage HQ,EL201/EL202 unifilaire et distribution (add. 2)
Bride MALT,distribution,carre,,,Bride MALT,EL201/EL202 unifilaire et distribution (add. 2)
Cabinet mesurage HQ,distribution,carre,,,Cabinet mesurage HQ,EL201/EL202 unifilaire et distribution (add. 2)
Cellule photoélectrique,commande,cercle,,,Cellule photoélectrique,EL001 (add. 4) tableau des contrôles d'éclairage
Chauffage AC1 2kW,chauffage,losange,,,Chauffage AC1 2kW,EL001 tableau des appareils de chauffage / EL404-EL406 (add. 2)
Chauffage AC1 3kW,chauffage,losange,,,Chauffage AC1 3kW,EL001 tableau des appareils de chauffage / EL404-EL406 (add. 2)
Chauffage AC1 5kW,chauffage,losange,,,Chauffage AC1 5kW,EL001 tableau des appareils de chauffage / EL404-EL406 (add. 2)
Chauffage AC2 2kW,chauffage,losange,,,Chauffage AC2 2kW,EL001 tableau des appareils de chauffage / EL404-EL406 (add. 2)
Chauffage AC2 3kW,chauffage,losange,,,Chauffage AC2 3kW,EL001 tableau des appareils de chauffage / EL404-EL406 (add. 2)
Chauffage AC2 4kW,chauffage,losange,,,Chauffage AC2 4kW,EL001 tableau des appareils de chauffage / EL404-EL406 (add. 2)
Chauffage AC2 5kW,chauffage,losange,,,Chauffage AC2 5kW,EL001 tableau des appareils de chauffage / EL404-EL406 (add. 2)
Chauffage P3 1.5kW,chauffage,losange,,,Chauffage P3 1.5kW,EL001 tableau des appareils de chauffage / EL404-EL406 (add. 2)
Chauffage P3 1kW,chauffage,losange,,,Chauffage P3 1kW,EL001 tableau des appareils de chauffage / EL404-EL406 (add. 2)
Cloche alarme extérieure,alarme,cercle,,,Cloche alarme extérieure,EL001 (add. 4) légende alarme incendie
Communicateur GSM fourni par autres,autre,trapeze,,,Communicateur GSM fourni par autres,EL001 légende contrôle d'accès / EL403-EL405
Contacteur éclairage extérieur,commande,cercle,,,Contacteur éclairage extérieur,EL001 (add. 4) tableau des contrôles d'éclairage
Disjoncteur ajouté panneau existant,distribution,carre,,,Disjoncteur ajouté panneau existant,EL201/EL202 unifilaire et distribution (add. 2)
Démolition enseigne sortie,demolition,triangle_inverse,,,Démolition enseigne sortie,plans (mention à démolir / à enlever)
Démolition poteau client existant,demolition,triangle_inverse,,,Démolition poteau client existant,plans (mention à démolir / à enlever)
Détecteur fumée,alarme,cercle,,,Détecteur fumée,EL001 (add. 4) légende alarme incendie
Détecteur fumée conduit,alarme,cercle,,,Détecteur fumée conduit,EL001 (add. 4) légende alarme incendie
Détecteur plafond OS2,commande,cercle,,,Détecteur plafond OS2,EL001 (add. 4) tableau des contrôles d'éclairage
Détecteur plafond OS3,commande,cercle,,,Détecteur plafond OS3,EL001 (add. 4) tableau des contrôles d'éclairage
Détecteur thermique — à confirmer,alarme,cercle,,,Détecteur thermique — à confirmer,EL001 (add. 4) légende alarme incendie — hors légende
Enseigne existante relocalisée,secours,cercle,,,Enseigne existante relocalisée,EL001 (add. 4) légende éclairage d'urgence
Enseigne sortie applique,secours,cercle,,,Enseigne sortie applique,EL001 (add. 4) légende éclairage d'urgence
Enseigne sortie plafond,secours,cercle,,,Enseigne sortie plafond,EL001 (add. 4) légende éclairage d'urgence
Enseigne sortie temporaire,secours,cercle,,,Enseigne sortie temporaire,EL001 (add. 4) légende éclairage d'urgence
Interrupteur 3 voies temporaire,commande,cercle,,,Interrupteur 3 voies temporaire,EL001 (add. 4) tableau des contrôles d'éclairage
Interrupteur débit gicleurs,alarme,cercle,,,Interrupteur débit gicleurs,EL001 (add. 4) légende alarme incendie
Interrupteur pression gicleurs,alarme,cercle,,,Interrupteur pression gicleurs,EL001 (add. 4) légende alarme incendie
Interrupteur valve surveillée,alarme,cercle,,,Interrupteur valve surveillée,EL001 (add. 4) légende alarme incendie
Isolateur de ligne,alarme,cercle,,,Isolateur de ligne,EL001 (add. 4) légende alarme incendie
Kit partition OS8,commande,cercle,,,Kit partition OS8,EL001 (add. 4) tableau des contrôles d'éclairage
Klaxon alarme,alarme,cercle,,,Klaxon alarme,EL001 (add. 4) légende alarme incendie
Klaxon-stroboscope,alarme,cercle,,,Klaxon-stroboscope,EL001 (add. 4) légende alarme incendie
Luminaire A1,luminaire,cercle,,,Luminaire A1,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire A1 urgence,secours,cercle,,,Luminaire A1 urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire A2,luminaire,cercle,,,Luminaire A2,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire A3,luminaire,cercle,,,Luminaire A3,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire A4,luminaire,cercle,,,Luminaire A4,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire A4 urgence,secours,cercle,,,Luminaire A4 urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire B1,luminaire,cercle,,,Luminaire B1,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire B2,luminaire,cercle,,,Luminaire B2,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire B3,luminaire,cercle,,,Luminaire B3,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire C,luminaire,cercle,,,Luminaire C,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire C urgence,secours,cercle,,,Luminaire C urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire D12,luminaire,cercle,,,Luminaire D12,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire D18,luminaire,cercle,,,Luminaire D18,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire D18 urgence,secours,cercle,,,Luminaire D18 urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire D24,luminaire,cercle,,,Luminaire D24,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire D24 urgence,secours,cercle,,,Luminaire D24 urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire D36,luminaire,cercle,,,Luminaire D36,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire E,luminaire,cercle,,,Luminaire E,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire F,luminaire,cercle,,,Luminaire F,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire F urgence,secours,cercle,,,Luminaire F urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire G,luminaire,cercle,,,Luminaire G,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire G urgence,secours,cercle,,,Luminaire G urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire H,luminaire,cercle,,,Luminaire H,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire H urgence,secours,cercle,,,Luminaire H urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire J urgence,secours,cercle,,,Luminaire J urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire K,luminaire,cercle,,,Luminaire K,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire L1,luminaire,cercle,,,Luminaire L1,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire L1 urgence,secours,cercle,,,Luminaire L1 urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire L1S,luminaire,cercle,,,Luminaire L1S,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire L2,luminaire,cercle,,,Luminaire L2,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire L2S,luminaire,cercle,,,Luminaire L2S,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire L3,luminaire,cercle,,,Luminaire L3,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire L3 urgence,secours,cercle,,,Luminaire L3 urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire L3S,luminaire,cercle,,,Luminaire L3S,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire L3S urgence,secours,cercle,,,Luminaire L3S urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire L4,luminaire,cercle,,,Luminaire L4,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire L4 urgence,secours,cercle,,,Luminaire L4 urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire L5,luminaire,cercle,,,Luminaire L5,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire L5 urgence,secours,cercle,,,Luminaire L5 urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire L6,luminaire,cercle,,,Luminaire L6,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire L6 urgence,secours,cercle,,,Luminaire L6 urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire L7,luminaire,cercle,,,Luminaire L7,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire L8,luminaire,cercle,,,Luminaire L8,EL001 (add. 4) tableau des appareils d'éclairage
Luminaire L8 urgence,secours,cercle,,,Luminaire L8 urgence,EL001 (add. 4) légende éclairage d'urgence
Luminaire M,luminaire,cercle,,,Luminaire M,EL001 (add. 4) tableau des appareils d'éclairage
