cote,page_humaine,feuille_ia,libelle,x_px,y_px,x_norm,y_norm,x_px_ia,y_px_ia,statut,id,id_apparie,libelle_apparie,distance_px_ia
humain,01-PLANS - 27 2,E304,exit,4876,2136,0.5907,0.3450,3371,1472,appariée,H:01-PLANS - 27 2:1,IA:E304:5,Enseigne sortie,12.0
humain,01-PLANS - 27 2,E304,exit,5175,2160,0.6269,0.3489,3576,1489,appariée,H:01-PLANS - 27 2:2,IA:E304:1,Enseigne sortie,30.2
humain,01-PLANS - 27 2,E304,exit,6060,2147,0.7341,0.3468,4185,1480,appariée,H:01-PLANS - 27 2:3,IA:E304:6,Enseigne sortie,9.8
humain,01-PLANS - 27 2,E304,exit,4319,4261,0.5232,0.6883,2988,2939,appariée,H:01-PLANS - 27 2:4,IA:E304:3,Enseigne sortie,11.5
humain,01-PLANS - 27 2,E304,exit,5170,4228,0.6263,0.6829,3573,2916,appariée,H:01-PLANS - 27 2:5,IA:E304:2,Enseigne sortie,19.8
humain,01-PLANS - 27 2,E304,exit,5393,4255,0.6533,0.6873,3726,2935,appariée,H:01-PLANS - 27 2:6,IA:E304:4,Enseigne sortie,14.7
humain,01-PLANS - 27 2,E304,PLAFONNIER,4697,2171,0.5690,0.3507,3248,1496,appariée,H:01-PLANS - 27 2:7,IA:E304:15,Luminaire encastré urgence,2.0
humain,01-PLANS - 27 2,E304,PLAFONNIER,4868,2167,0.5897,0.3500,3365,1494,appariée,H:01-PLANS - 27 2:8,IA:E304:7,Luminaire encastré urgence,8.5
humain,01-PLANS - 27 2,E304,PLAFONNIER,5051,2167,0.6119,0.3500,3491,1494,appariée,H:01-PLANS - 27 2:9,IA:E304:8,Luminaire encastré urgence,2.3
humain,01-PLANS - 27 2,E304,PLAFONNIER,5226,2167,0.6331,0.3500,3611,1494,appariée,H:01-PLANS - 27 2:10,IA:E304:9,Luminaire encastré urgence,4.7
humain,01-PLANS - 27 2,E304,PLAFONNIER,5400,2167,0.6541,0.3500,3731,1494,appariée,H:01-PLANS - 27 2:11,IA:E304:10,Luminaire encastré urgence,6.9
humain,01-PLANS - 27 2,E304,PLAFONNIER,5579,2169,0.6758,0.3503,3854,1495,appariée,H:01-PLANS - 27 2:12,IA:E304:11,Luminaire encastré urgence,5.7
humain,01-PLANS - 27 2,E304,PLAFONNIER,5759,2169,0.6976,0.3503,3978,1495,appariée,H:01-PLANS - 27 2:13,IA:E304:12,Luminaire encastré urgence,4.8
humain,01-PLANS - 27 2,E304,PLAFONNIER,5937,2169,0.7192,0.3503,4101,1495,appariée,H:01-PLANS - 27 2:14,IA:E304:13,Luminaire encastré urgence,4.4
humain,01-PLANS - 27 2,E304,PLAFONNIER,6111,2167,0.7403,0.3500,4220,1494,appariée,H:01-PLANS - 27 2:15,IA:E304:14,Luminaire encastré urgence,6.8
humain,01-PLANS - 27 2,E304,PLAFONNIER,4142,4234,0.5018,0.6839,2866,2921,appariée,H:01-PLANS - 27 2:16,IA:E304:16,Luminaire encastré urgence,2.3
humain,01-PLANS - 27 2,E304,PLAFONNIER,4341,4232,0.5259,0.6836,3003,2919,appariée,H:01-PLANS - 27 2:17,IA:E304:17,Luminaire encastré urgence,1.3
humain,01-PLANS - 27 2,E304,PLAFONNIER,4519,4235,0.5474,0.6841,3125,2921,appariée,H:01-PLANS - 27 2:18,IA:E304:18,Luminaire encastré urgence,2.9
humain,01-PLANS - 27 2,E304,PLAFONNIER,4697,4232,0.5690,0.6836,3248,2919,appariée,H:01-PLANS - 27 2:19,IA:E304:19,Luminaire encastré urgence,1.4
humain,01-PLANS - 27 2,E304,PLAFONNIER,4872,4231,0.5902,0.6834,3368,2918,appariée,H:01-PLANS - 27 2:20,IA:E304:20,Luminaire encastré urgence,4.1
humain,01-PLANS - 27 2,E304,PLAFONNIER,5052,4233,0.6120,0.6837,3492,2920,appariée,H:01-PLANS - 27 2:21,IA:E304:21,Luminaire encastré urgence,2.4
humain,01-PLANS - 27 2,E304,PLAFONNIER,5230,4232,0.6336,0.6836,3614,2919,appariée,H:01-PLANS - 27 2:22,IA:E304:22,Luminaire encastré urgence,1.8
humain,01-PLANS - 27 2,E304,PLAFONNIER,5408,4233,0.6551,0.6837,3737,2920,appariée,H:01-PLANS - 27 2:23,IA:E304:23,Luminaire encastré urgence,9.1
humain,01-PLANS - 27 2,E304,FIXT TYPE UE2,4873,2023,0.5903,0.3268,3369,1394,appariée,H:01-PLANS - 27 2:24,IA:E304:26,Luminaire linéaire applique urgence,1.0
humain,01-PLANS - 27 2,E304,FIXT TYPE UE2,5095,2022,0.6172,0.3266,3521,1394,appariée,H:01-PLANS - 27 2:25,IA:E304:27,Luminaire linéaire applique urgence,32.3
humain,01-PLANS - 27 2,E304,FIXT TYPE UE2,5858,2020,0.7096,0.3263,4046,1392,appariée,H:01-PLANS - 27 2:26,IA:E304:24,Luminaire linéaire applique urgence,5.9
