page_humaine,document,page,feuille_ia,plan_ia,methode,score,transformation,dims_humain,marques_humain,doublons,marques_ia_feuille,appariees,manquantes_ia,en_trop_ia_feuille,lignes_humain,lignes_ia_feuille,second_candidat,note
01-PLANS - 27 2,01-PLANS,27,E304,E304,nom,1.000,"0°, échelle x=0.6879 y=0.6903, translation (16, -2) px IA",8255x6191 (fichier de dimensions),31,0,31,31,0,0,0,0,,
01-PLANS - 14,01-PLANS,14,E201,E201,nom,0.999,"0°, échelle x=0.6891 y=0.6894, translation (-0, -4) px IA",8255x6191 (fichier de dimensions),792,0,789,788,4,1,4,0,,
01-PLANS - 15,01-PLANS,15,E202,E202,nom,1.000,"0°, échelle x=0.6898 y=0.6895, translation (-5, -4) px IA",8255x6191 (fichier de dimensions),800,0,810,800,0,10,2,0,,
01-PLANS - 16,01-PLANS,16,E203,E203,nom,1.000,"0°, échelle x=0.6902 y=0.6897, translation (-6, -5) px IA",8255x6191 (fichier de dimensions),818,0,819,818,0,1,2,0,,
01-PLANS - 17 2,01-PLANS,17,E204,E204,nom,1.000,"0°, échelle x=0.6904 y=0.6896, translation (-7, -5) px IA",8255x6191 (fichier de dimensions),818,0,821,818,0,3,2,0,,
01-PLANS - 18 2,01-PLANS,18,E205,E205,nom,1.000,"0°, échelle x=0.6900 y=0.6894, translation (-5, -4) px IA",8255x6191 (fichier de dimensions),817,0,819,815,2,4,2,0,,
01-PLANS - 19 2,01-PLANS,19,E206,E206,nom,1.000,"0°, échelle x=0.6902 y=0.6893, translation (-7, -4) px IA",8255x6191 (fichier de dimensions),819,0,820,817,2,3,2,0,,
01-PLANS - 20 2,01-PLANS,20,E207,E207,nom,1.000,"0°, échelle x=0.6907 y=0.6900, translation (-9, -6) px IA",8255x6191 (fichier de dimensions),422,0,427,422,0,5,1,0,,
01-PLANS - 13,01-PLANS,13,E200,E200,nom,0.824,"0°, échelle x=0.6898 y=0.6899, translation (0, 0) px IA",8255x6191 (fichier de dimensions),74,0,114,53,21,61,16,0,,
01-PLANS - 21 2,01-PLANS,21,E208,E208,nom,1.000,"0°, échelle x=0.6870 y=0.6860, translation (11, 3) px IA",8255x6191 (fichier de dimensions),300,0,304,300,0,4,1,0,,
01-PLANS - 22 2,01-PLANS,22,E209,E209,nom,1.000,"0°, échelle x=0.6898 y=0.6899, translation (0, 0) px IA",8255x6191 (fichier de dimensions),2,0,2,2,0,0,0,0,,
01-PLANS - 23 2,01-PLANS,23,E300,E300,nom,1.000,"0°, échelle x=0.6921 y=0.6910, translation (-3, -14) px IA",8255x6191 (fichier de dimensions),187,0,187,187,0,0,2,0,,
01-PLANS - 24 2,01-PLANS,24,E301,E301,nom,0.976,"0°, échelle x=0.6886 y=0.6907, translation (17, -2) px IA",8255x6191 (fichier de dimensions),123,0,119,119,4,0,0,0,,
01-PLANS - 25 2,01-PLANS,25,E302,E302,nom,1.000,"0°, échelle x=0.6888 y=0.6912, translation (11, -6) px IA",8255x6191 (fichier de dimensions),30,0,31,30,0,1,0,0,,
01-PLANS - 26 2,01-PLANS,26,E303,E303,nom,1.000,"0°, échelle x=0.6880 y=0.6896, translation (15, 0) px IA",8255x6191 (fichier de dimensions),31,0,31,31,0,0,2,0,,
01-PLANS - 28 2,01-PLANS,28,E305,E305,nom,1.000,"0°, échelle x=0.6877 y=0.6896, translation (18, 0) px IA",8255x6191 (fichier de dimensions),31,0,31,31,0,0,0,0,,
01-PLANS - 29 2,01-PLANS,29,E306,E306,nom,1.000,"0°, échelle x=0.6863 y=0.6900, translation (22, -1) px IA",8255x6191 (fichier de dimensions),31,0,31,31,0,0,0,0,,
01-PLANS - 30 2,01-PLANS,30,E307,E307,nom,1.000,"0°, échelle x=0.6879 y=0.6872, translation (15, 4) px IA",8255x6191 (fichier de dimensions),24,0,24,24,0,0,0,0,,
01-PLANS - 31 2,01-PLANS,31,E308,E308,nom,1.000,"0°, échelle x=0.6858 y=0.7242, translation (25, -76) px IA",8255x6191 (fichier de dimensions),15,0,15,15,0,0,0,0,,
01-PLANS - 33 2,01-PLANS,33,E400,E400,nom,1.000,"0°, échelle x=0.6904 y=0.6898, translation (-2, -2) px IA",8255x6191 (fichier de dimensions),88,0,99,87,1,12,2,0,,
01-PLANS - 34 2,01-PLANS,34,E401,E401,nom,1.000,"0°, échelle x=0.6880 y=0.6897, translation (14, -2) px IA",8255x6191 (fichier de dimensions),156,156,161,0,0,7,2,0,,
01-PLANS - 35 2,01-PLANS,35,E402,E402,nom,1.000,"0°, échelle x=0.6898 y=0.6901, translation (3, -3) px IA",8255x6191 (fichier de dimensions),137,137,144,0,0,5,1,0,,
01-PLANS - 36 2,01-PLANS,36,E403,E403,nom,1.000,"0°, échelle x=0.6899 y=0.6900, translation (3, -3) px IA",8255x6191 (fichier de dimensions),139,0,145,139,0,6,1,0,,
01-PLANS - 37 2,01-PLANS,37,E404,E404,nom,1.000,"0°, échelle x=0.6900 y=0.6899, translation (2, -2) px IA",8255x6191 (fichier de dimensions),138,0,145,138,0,7,0,0,,
01-PLANS - 38 2,01-PLANS,38,E405,E405,nom,1.000,"0°, échelle x=0.6899 y=0.6900, translation (3, -3) px IA",8255x6191 (fichier de dimensions),140,0,146,140,0,6,0,0,,
01-PLANS - 39 2,01-PLANS,39,E406,E406,nom,1.000,"0°, échelle x=0.6899 y=0.6899, translation (4, -2) px IA",8255x6191 (fichier de dimensions),141,0,146,141,0,5,0,0,,
01-PLANS - 40 2,01-PLANS,40,E407,E407,nom,1.000,"0°, échelle x=0.6890 y=0.6893, translation (7, -1) px IA",8255x6191 (fichier de dimensions),84,0,90,83,1,7,1,0,,
01-PLANS - 41 2,01-PLANS,41,E408,E408,nom,1.000,"0°, échelle x=0.6911 y=0.6914, translation (-3, -5) px IA",8255x6191 (fichier de dimensions),66,0,69,66,0,3,1,0,,
01-PLANS - 43 2,01-PLANS,43,E500,E500,nom,,,8255x6191 (fichier de dimensions),0,0,0,0,0,,4,0,,page sans marque
01-PLANS - 41 2 1,01-PLANS,41,E408,E408,nom,1.000,"0°, échelle x=0.6911 y=0.6914, translation (-3, -5) px IA",8255x6191 (fichier de dimensions),66,66,69,0,0,3,1,0,,
01-PLANS - 40 2 1,01-PLANS,40,E407,E407,nom,1.000,"0°, échelle x=0.6890 y=0.6893, translation (7, -1) px IA",8255x6191 (fichier de dimensions),84,84,90,0,0,7,1,0,,
01-PLANS - 39 2 1,01-PLANS,39,E406,E406,nom,1.000,"0°, échelle x=0.6899 y=0.6899, translation (4, -2) px IA",8255x6191 (fichier de dimensions),141,141,146,0,0,5,0,0,,
